RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
R5609	Br1947	PsychEncode	BipSeq	Bipseq_1M
R4283	5511205003_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R4290	5511192073_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R4036	Br1901	PsychEncode	BipSeq	Bipseq_1M
R5598	Br2022	PsychEncode	BipSeq	Bipseq_1M
R4412	5532971117_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R3934	Br1430	PsychEncode	BipSeq	Bipseq_1M
R3945	Br1651	PsychEncode	BipSeq	Bipseq_1M
R4062	6017049073_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R4209	Br1554	PsychEncode	BipSeq	Bipseq_1M
R3708	Br1752	PsychEncode	BipSeq	Bipseq_1M
R5833	6051001032_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R2910	Br1511	PsychEncode	BipSeq	Bipseq_1M
R4034	Br1896	PsychEncode	BipSeq	Bipseq_1M
R4365	5533009059_R01C02	PsychEncode	BipSeq	CMC_HBCC_set2
R2959	Br1562	PsychEncode	BipSeq	Bipseq_1M
R4427	5533009080_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R4377	5532997168_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R5821	5535549071_R01C02	PsychEncode	BipSeq	CMC_HBCC_set2
R4327	5533017075_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R5632	Br2083	PsychEncode	BipSeq	Bipseq_1M
R2909	Br1454	PsychEncode	BipSeq	Bipseq_1M
R3882	Br1437	PsychEncode	BipSeq	Bipseq_1M
R5777	5535549072_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R3655	Br1749	PsychEncode	BipSeq	Bipseq_1M
R4419	5532971116_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
R3641	Br1744	PsychEncode	BipSeq	Bipseq_1M
R4425	5533009059_R01C01	PsychEncode	BipSeq	CMC_HBCC_set2
