RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
R5609	Br1947	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4283	5511205003_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4290	5511192073_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4036	Br1901	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R5598	Br2022	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4412	5532971117_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3934	Br1430	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R3945	Br1651	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4062	6017049073_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4209	Br1554	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R3708	Br1752	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R5833	6051001032_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R2910	Br1511	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4034	Br1896	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
