RnaID	RNADataset	GenotypeQuery	Reason
R5828	PsychEncode	BipSeq	Br2035	GenotypeID not found
R2846	PsychEncode	BipSeq	Br1413	GenotypeID not found
R4128	PsychEncode	BipSeq	Br1724	GenotypeID not found
R3003	PsychEncode	BipSeq	Br1309	GenotypeID not found
R4066	PsychEncode	BipSeq	Br1838	GenotypeID not found
R2940	PsychEncode	BipSeq	Br871	GenotypeID not found
R5892	PsychEncode	BipSeq	Br2056	GenotypeID not found
R4409	PsychEncode	BipSeq	Br2153	GenotypeID not found
R4133	PsychEncode	BipSeq	Br1630	GenotypeID not found
R4372	PsychEncode	BipSeq	Br2181	GenotypeID not found
R4117	PsychEncode	BipSeq	Br931	GenotypeID not found
R5827	PsychEncode	BipSeq	Br2013	GenotypeID not found
R2852	PsychEncode	BipSeq	Br1601	GenotypeID not found
R3987	PsychEncode	BipSeq	Br1423	GenotypeID not found
R4205	PsychEncode	BipSeq	Br1450	GenotypeID not found
R3028	PsychEncode	BipSeq	Br1470	GenotypeID not found
R2883	PsychEncode	BipSeq	Br1395	GenotypeID not found
R5612	PsychEncode	BipSeq	Br1969	GenotypeID not found
R4130	PsychEncode	BipSeq	Br1415	GenotypeID not found
R5829	PsychEncode	BipSeq	Br2042	GenotypeID not found
A653_1028	Braineac	?	?	GenotypeID not found
A653_610	Braineac	?	?	GenotypeID not found
2015-854	PsychEncode	BrainGVEx	2015-854	GenotypeID not found
2015-1477	PsychEncode	BrainGVEx	2015-1477	GenotypeID not found
2016-943	PsychEncode	BrainGVEx	2016-943	GenotypeID not found
2015-1508	PsychEncode	BrainGVEx	2015-1508	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-804	PsychEncode	BrainGVEx	2015-804	GenotypeID not found
2015-811	PsychEncode	BrainGVEx	2015-811	GenotypeID not found
2015-899	PsychEncode	BrainGVEx	2015-899	GenotypeID not found
2015-1470	PsychEncode	BrainGVEx	2015-1470	GenotypeID not found
2015-23	PsychEncode	BrainGVEx	2015-23	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-514	PsychEncode	BrainGVEx	2015-514	GenotypeID not found
2016-939	PsychEncode	BrainGVEx	2016-939	GenotypeID not found
2015-1502	PsychEncode	BrainGVEx	2015-1502	GenotypeID not found
2015-897	PsychEncode	BrainGVEx	2015-897	GenotypeID not found
2014-2200	PsychEncode	BrainGVEx	2014-2200	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-1558	PsychEncode	BrainGVEx	2015-1558	GenotypeID not found
2015-1425	PsychEncode	BrainGVEx	2015-1425	GenotypeID not found
2015-1539	PsychEncode	BrainGVEx	2015-1539	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2016-951	PsychEncode	BrainGVEx	2016-951	GenotypeID not found
2015-898	PsychEncode	BrainGVEx	2015-898	GenotypeID not found
2015-1431	PsychEncode	BrainGVEx	2015-1431	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-892	PsychEncode	BrainGVEx	2015-892	GenotypeID not found
2016-949	PsychEncode	BrainGVEx	2016-949	GenotypeID not found
2015-896	PsychEncode	BrainGVEx	2015-896	GenotypeID not found
2015-1474	PsychEncode	BrainGVEx	2015-1474	GenotypeID not found
2015-813	PsychEncode	BrainGVEx	2015-813	GenotypeID not found
2015-3	PsychEncode	BrainGVEx	2015-3	GenotypeID not found
2016-941	PsychEncode	BrainGVEx	2016-941	GenotypeID not found
2015-1337	PsychEncode	BrainGVEx	2015-1337	GenotypeID not found
2016-965	PsychEncode	BrainGVEx	2016-965	GenotypeID not found
2015-281	PsychEncode	BrainGVEx	2015-281	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-1454	PsychEncode	BrainGVEx	2015-1454	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\BrainGVEX-V2\BrainGVEXv2-genome.genome-pihat0.125.txt;D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GVEXUpdate\GVEXUpdate.genome-pihat0.125.txt
2015-512	PsychEncode	BrainGVEx	2015-512	GenotypeID not found
2015-38	PsychEncode	BrainGVEx	2015-38	GenotypeID not found
2015-855	PsychEncode	BrainGVEx	2015-855	GenotypeID not found
Br1524_R3424	Brainseq	Brainseq	Br1524	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1825_R3404	Brainseq	Brainseq	Br1825	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1962_R4252	Brainseq	Brainseq	Br1962	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1858_R3498	Brainseq	Brainseq	Br1858	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1178_R3513	Brainseq	Brainseq	Br1178	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br993_R2906	Brainseq	Brainseq	Br993	GenotypeID not found
Br1578_R2948	Brainseq	Brainseq	Br1578	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1826_R3715	Brainseq	Brainseq	Br1826	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
