A653_380	0_022_09_1
A653_1142	0_015_10_1
A653_012	0_018_08_1
A653_234	0_032_08_1
A653_1075	0_015_10_1
A653_211	0_014_09_1
A653_242	0_001_06_1
A653_151	0_025_08_1
A653_1225	0_96_44_1
A653_753	0_029_09_1
A653_157	0_016_09_1
A653_335	0_012_09_1
A653_112	0_005_09_1
A653_875	0_003_10_1
A653_212	0_012_09_1
A653_1339	0_92_10_1
A653_092	0_036_08_1
A653_623	0_019_08_1
A653_171	0_040_08_1
A653_985	0_98_34_1
A653_483	0_043_06_1
A653_383	0_026_09_1
A653_772	0_022_08_1
A653_108	0_023_08_1
A653_1149	0_08_88_1
A653_1154	0_09_56_1
A653_434	0_006_08_1
A653_1304	0_95_27_1
A653_072	0_025_08_1
A653_1136	0_94_35_1
A653_522	0_030_09_1
A653_321	0_020_08_1
A653_763	0_034_08_1
A653_932	0_006_10_1
A653_496	0_007_06_1
A653_964	0_010_10_1
A653_034	0_018_09_1
A653_286	0_018_06_1
A653_160	0_036_08_1
A653_1208	0_96_32_1
A653_238	0_033_08_1
A653_224	0_025_05_1
A653_627	0_033_09_1
A653_140	0_021_08_1
A653_899	0_004_10_1
A653_147	0_009_09_1
A653_679	0_030_06_1
A653_320	0_016_09_1
A653_945	0_002_10_1
A653_395	0_009_09_1
A653_093	0_004_08_1
A653_055	0_018_08_1
A653_264	0_018_09_1
A653_145	0_031_08_1
A653_473	0_034_06_1
A653_177	0_015_07_1
A653_043	0_004_06_1
A653_1291	0_016_10_1
A653_205	0_040_08_1
A653_1031	0_024_10_1
A653_974	0_001_10_1
A653_441	0_032_09_1
A653_752	0_018_05_1
A653_122	0_005_09_1
A653_669	0_018_07_1
A653_1147	0_020_10_1
A653_1395	0_014_10_1
A653_643	0_017_08_1
A653_1241	0_95_26_1
A653_1238	0_04_19_1
A653_048	0_016_07_1
A653_223	0_038_08_1
A653_534	0_028_09_1
A653_111	0_022_06_1
A653_1288	0_018_10_1
A653_229	0_021_08_1
A653_794	0_036_09_1
A653_001	0_024_08_1
A653_1185	0_03_28_1
A653_1360	0_97_14_1
A653_710	0_026_07_1
A653_190	0_033_08_1
A653_738	0_036_09_1
A653_388	0_001_06_1
A653_184	0_013_09_1
A653_334	0_022_06_1
A653_209	0_025_09_1
A653_002	0_006_09_1
A653_620	0_027_09_1
A653_1432	0_98_27_1
A653_917	0_012_10_1
A653_891	0_002_10_1
A653_702	0_003_08_1
A653_225	0_004_08_1
A653_519	0_020_07_1
A653_381	0_025_05_1
A653_1005	0_019_10_1
A653_1038	0_97_17_1
A653_864	0_014_08_1
A653_996	0_07_73_1
A653_1067	0_021_10_1
A653_1281	0_08_55_1
A653_1193	0_023_10_1
A653_1244	0_023_10_1
A653_331	0_018_06_1
A653_379	0_035_06_1
A653_243	0_021_09_1
A653_617	0_029_09_1
A653_944	0_003_10_1
A653_098	0_032_08_1
A653_057	0_006_09_1
A653_308	0_015_09_1
A653_003	0_023_08_1
A653_115	0_017_07_1
A653_301	0_026_09_1
A653_235	0_017_07_1
A653_1143	0_024_10_1
A653_435	0_028_09_1
A653_283	0_017_09_1
A653_1441	0_013_10_1
A653_056	0_015_07_1
A653_219	0_014_09_1
A653_066	0_037_08_1
A653_954	0_011_10_1
A653_102	0_016_08_1
A653_173	0_011_09_1
A653_965	0_001_10_1
A653_146	0_024_08_1
A653_1424	0_032_10_1
A653_516	0_028_08_1
A653_107	0_007_09_1
A653_719	0_035_09_1
A653_993	0_028_10_1
A653_1166	0_97_37_1
A653_121	0_023_09_1
A653_673	0_033_09_1
A653_354	0_026_08_1
A653_316	0_023_09_1
A653_1141	0_016_10_1
A653_239	0_037_08_1
A653_950	0_006_10_1
A653_453	0_002_08_1
A653_1332	0_04_05_1
A653_874	0_011_10_1
A653_058	0_015_09_1
A653_165	0_039_06_1
A653_1130	0_019_10_1
A653_1346	0_032_10_1
A653_124	0_010_09_1
A653_506	0_012_08_1
A653_071	0_016_08_1
A653_762	0_027_09_1
A653_696	0_009_07_1
A653_884	0_010_10_1
A653_142	0_010_09_1
A653_1425	0_028_10_1
A653_651	0_032_09_1
A653_940	0_012_10_1
A653_890	0_007_10_1
A653_1198	0_97_02_1
A653_616	0_030_09_1
A653_288	0_038_08_1
SRR934795	SAMN02251118
SRR934800	SAMN02251122
SRR934801	SAMN02251124
SRR934778	SAMN02251099
SRR934776	SAMN02251103
SRR934780	SAMN02251102
SRR934777	SAMN02251098
SRR934940	SAMN02251335
SRR934969	SAMN02251344
SRR934922	SAMN02251345
SRR934925	SAMN02251343
SRR934975	SAMN02251341
SRR4407829	SAMN05891444
SRR4407827	SAMN05891442
SRR934765	SAMN02251209
SRR934870	SAMN02251216
SRR934762	SAMN02251210
SRR934763	SAMN02251291
SRR934815	SAMN02251298
SRR934857	SAMN02251300
SRR3141971	SAMN04455040
SRR934936	SAMN02251320
SRR934895	SAMN02251324
SRR934942	SAMN02251316
SRR934948	SAMN02251315
SRR934736	SAMN02251250
SRR934721	SAMN02251260
SRR3438809	SAMN04900991
SRR3438810	SAMN04900992
ERR1363372	SAMEA3931556
ERR1363364	SAMEA3931548
ERR1363363	SAMEA3931547
SRR3141985	SAMN04455055
SRR1747149	SAMN03279834
SRR934970	SAMN02251364
SRR5850230	SAMN06830469
SRR5850227	SAMN06830466
SRR5850222	SAMN06830464
SRR934878	SAMN02251220
SRR934754	SAMN02251218
ERR1363348	SAMEA3931532
ERR1363349	SAMEA3931533
ERR1363355	SAMEA3931539
ERR1363359	SAMEA3931543
ERR315477	SAMEA2157437
SRR934830	SAMN02251286
SRR934807	SAMN02251289
SRR934743	SAMN02251282
SRR3627970	SAMN05163569
SRR5319470	SAMN06484435
SRR5319472	SAMN06484433
SRR5319468	SAMN06484437
SRR934729	SAMN02251270
SRR934737	SAMN02251265
SRR934738	SAMN02251262
SRR934987	SAMN02251128
SRR4407808	SAMN05891425
SRR4407800	SAMN05891417
SRR4407838	SAMN05891452
SRR5361465	SAMN06621727
SRR1206047	SAMN02709063
SRR1206046	SAMN02709066
SRR934851	SAMN02251306
SRR934906	SAMN02251302
SRR934809	SAMN02251202
SRR934820	SAMN02251199
SRR934930	SAMN02251326
SRR934941	SAMN02251327
SRR934946	SAMN02251332
SRR4407826	SAMN05891441
SRR4407812	SAMN05891428
SRR4407817	SAMN05891433
SRR4407823	SAMN05891438
SRR4407820	SAMN05891436
SRR934957	SAMN02251139
SRR934908	SAMN02251146
SRR934805	SAMN02251167
SRR934808	SAMN02251165
SRR3438739	SAMN04901220
ERR1363339	SAMEA3931523
ERR1363337	SAMEA3931521
SRR934828	SAMN02251196
SRR934825	SAMN02251189
SRR934803	SAMN02251195
SRR934847	SAMN02251188
SRR2015767	SAMN03651510
SRR2071347	SAMN02999519
SRR934832	SAMN02251156
SRR934835	SAMN02251160
SRR4407821	SAMN05891410
SRR4407799	SAMN05891408
SRR4407810	SAMN05891409
SRR4407846	SAMN05891414
SRR934884	SAMN02251240
SRR934887	SAMN02251241
SRR934876	SAMN02251248
SRR934726	SAMN02251272
SRR934761	SAMN02251279
SRR934746	SAMN02251280
SRR934871	SAMN02251235
SRR934886	SAMN02251236
SRR934866	SAMN02251233
SRR5361429	SAMN06621763
SRR934843	SAMN02251182
SRR934816	SAMN02251179
SRR1475022	GTEX-ZDXO
SRR1479759	GTEX-14BIN
SRR1444479	GTEX-11WQC
SRR1473822	GTEX-ZV68
SRR818971	GTEX-WWYW
SRR1499823	GTEX-YJ89
SRR1386818	GTEX-Z93S
SRR663261	GTEX-QMR6
SRR1488285	GTEX-13PL6
SRR1413959	GTEX-13O3Q
SRR1321786	GTEX-13OW6
SRR598428	GTEX-Q2AG
SRR1391598	GTEX-13FHO
SRR1084484	GTEX-XMD1
SRR1403831	GTEX-13X6J
SRR1360868	GTEX-13OW6
SRR1467011	GTEX-YFC4
SRR816721	GTEX-WZTO
SRR1466641	GTEX-Y8DK
SRR1415895	GTEX-ZAB4
SRR1382570	GTEX-12ZZZ
SRR1500998	GTEX-ZF28
SRR1387833	GTEX-ZVZQ
SRR1360744	GTEX-13QJC
SRR1098336	GTEX-X4XX
SRR1472301	GTEX-12WSF
SRR1416889	GTEX-13X6I
SRR661325	GTEX-T2IS
SRR817629	GTEX-WL46
SRR1440876	GTEX-13SLW
SRR818057	GTEX-X261
SRR1385124	GTEX-131YS
SRR1403050	GTEX-13X6J
SRR1321462	GTEX-1313W
