0_012_08_1	A653_506
0_016_10_1	A653_1141
0_SH-99-02_SH-99-02	SRR5588971
GTEX-13RTJ	SRR1314767
0_026_08_1	A653_354
SAMN02251128	SRR934987
GTEX-ZF28	SRR1366961
SAMN02251248	SRR934876
GTEX-NPJ7	SRR603397
0_004_06_1	A653_043
0_07_73_1	A653_996
SAMN02251124	SRR934801
GTEX-NPJ8	SRR604366
0_007_09_1	A653_107
SAMN02251122	SRR934800
SAMN02251364	SRR934970
SAMN02251241	SRR934887
0_08_88_1	A653_1149
SAMN02251240	SRR934884
GTEX-PVOW	SRR655555
SAMN06484437	SRR5319468
SAMN06484433	SRR5319472
SAMN06484435	SRR5319470
SAMN02999519	SRR2071347
0_018_06_1	A653_331
0_002_10_1	A653_891
GTEX-13CF2	SRR1444559
0_97_17_1	A653_1038
0_UMARY_1037	SRR5605671
0_005_09_1	A653_112
SAMN02251139	SRR934957
0_028_08_1	A653_516
GTEX-11GSO	SRR1310113
GTEX-11GSP	SRR1409351
0_014_10_1	A653_1395
SAMN02251250	SRR934736
0_010_09_1	A653_124
0_016_07_1	A653_048
GTEX-13112	SRR1392637
GTEX-12WSF	SRR1388168
GTEX-12WSH	SRR1331511
GTEX-12WSI	SRR1468381
0_026_09_1	A653_383
0_018_07_1	A653_669
GTEX-12WSD	SRR1434138
GTEX-13S7M	SRR1362417
GTEX-12WSE	SRR1440246
SAMN02251146	SRR934908
SAMN02251265	SRR934737
GTEX-12WSA	SRR1453569
0_009_07_1	A653_696
SAMN02251262	SRR934738
SAMN02251260	SRR934721
GTEX-WVLH	SRR818396
SAMN05891442	SRR4407827
GTEX-13JVG	SRR1491293
0_028_10_1	A653_993
SAMN05891441	SRR4407826
GTEX-ZVT3	SRR1330699
0_017_09_1	A653_283
GTEX-WZTO	SRR816721
GTEX-12WS9	SRR1498482
GTEX-139TT	SRR1415095
0_021_10_1	A653_1067
GTEX-1313W	SRR1420493
0_09_56_1	A653_1154
0_04_05_1	A653_1332
SAMN05891444	SRR4407829
GTEX-X585	SRR1082328
0_036_09_1	A653_794
GTEX-13JUV	SRR1472394
GTEX-ZUA1	SRR1337074
GTEX-ZXG5	SRR1416096
0_08_55_1	A653_1281
SAMN02251279	SRR934761
SAMN02251156	SRR934832
GTEX-X4EP	SRR1360718
0_98_34_1	A653_985
SAMN02251272	SRR934726
SAMN02251270	SRR934729
0_038_08_1	A653_223
SAMN05891452	SRR4407838
SAMN06621763	SRR5361429
0_012_10_1	A653_917
0_016_08_1	A653_102
0_019_08_1	A653_623
SAMN04900992	SRR3438810
GTEX-13FLV	SRR1341521
0_018_10_1	A653_1288
SAMN04900991	SRR3438809
GTEX-13FLW	SRR1379450
0_95_27_1	A653_1304
GTEX-Q2AG	SRR602540
0_015_09_1	A653_058
GTEX-UTHO	SRR661925
0_024_10_1	A653_1031
GTEX-OXRO	SRR602271
0_043_06_1	A653_483
SAMN02251289	SRR934807
GTEX-11UD1	SRR1332856
SAMN02251167	SRR934805
SAMN02251286	SRR934830
SAMN02251165	SRR934808
GTEX-13CZV	SRR1368222
GTEX-13IVO	SRR1477615
0_004_08_1	A653_093
SAMN02251282	SRR934743
GTEX-12ZZZ	SRR1382570
SAMN02251160	SRR934835
SAMN03279834	SRR1747149
SAMN02251280	SRR934746
GTEX-Z93S	SRR1398157
GTEX-14ABY	SRR1475257
GTEX-12ZZW	SRR1332048
GTEX-12ZZX	SRR1329761
0_014_09_1	A653_211
GTEX-12ZZY	SRR1486560
0_034_08_1	A653_763
SAMN04455040	SRR3141971
0_033_08_1	A653_190
GTEX-11NV4	SRR1355262
0_039_06_1	A653_165
GTEX-YJ89	SRR1451964
SAMN02251179	SRR934816
GTEX-Y8DK	SRR1406976
SAMN02251298	SRR934815
GTEX-13CIG	SRR1319019
GTEX-QDT8	SRR660638
SAMN02251291	SRR934763
SAMN04455055	SRR3141985
0_04_19_1	A653_1238
0_016_09_1	A653_157
SAMN04901220	SRR3438739
GTEX-12WSM	SRR1472663
0_013_10_1	A653_1441
GTEX-131YS	SRR1339218
GTEX-13O3O	SRR1358183
GTEX-13PVQ	SRR1384030
GTEX-QVJO	SRR612623
GTEX-13O3Q	SRR1313932
SAMN02251189	SRR934825
SAMN02251188	SRR934847
0_03_28_1	A653_1185
0_019_10_1	A653_1130
SAMN02251182	SRR934843
GTEX-YFC4	SRR1455171
0_014_08_1	A653_864
GTEX-XMD1	SRR1085975
CGND-HDA-01328-b38	HRA_00427
0_018_05_1	A653_752
GTEX-WL46	SRR817629
GTEX-145MI	SRR1445238
GTEX-145MH	SRR1331466
GTEX-T2IS	SRR661325
GTEX-145MG	SRR1394713
0_025_09_1	A653_209
SAMN06830464	SRR5850222
SAMN02251199	SRR934820
SAMN06830466	SRR5850227
GTEX-PWO3	SRR607647
SAMN02251196	SRR934828
GTEX-131XH	SRR1454950
SAMN06830469	SRR5850230
SAMN02251195	SRR934803
0_004_10_1	A653_899
0_024_08_1	A653_146
GTEX-WWYW	SRR818971
0_023_10_1	A653_1244
GTEX-13OW6	SRR1321786
GTEX-13OW5	SRR1478946
0_96_32_1	A653_1208
0_015_07_1	A653_056
SAMN02709066	SRR1206046
GTEX-13QJC	SRR1408327
GTEX-13OVJ	SRR1407315
0_023_09_1	A653_121
GTEX-14BIN	SRR1479759
GTEX-ZE7O	SRR1457551
GTEX-13OVL	SRR1402454
GTEX-14BIM	SRR1361757
GTEX-13OVH	SRR1340202
SAMEA3931523	ERR1363339
GTEX-T5JC	SRR665393
SAMEA3931521	ERR1363337
0_032_10_1	A653_1424
GTEX-11TUW	SRR1455369
0_006_09_1	A653_057
0_034_06_1	A653_473
GTEX-13X6J	SRR1403831
GTEX-13X6I	SRR1480479
0_92_10_1	A653_1339
GTEX-13X6K	SRR1400269
0_96_44_1	A653_1225
SAMEA2157437	ERR315477
0_022_06_1	A653_111
0_025_08_1	A653_151
GTEX-13G51	SRR1430570
GTEX-13N2G	SRR1410783
0_003_10_1	A653_944
SAMN02251099	SRR934778
SAMN02251098	SRR934777
GTEX-13SLX	SRR1383723
GTEX-13SLW	SRR1400245
0_021_09_1	A653_243
0_035_09_1	A653_719
GTEX-S7PM	SRR820292
SAMN02709063	SRR1206047
GTEX-QMR6	SRR663261
0_95_26_1	A653_1241
0_98_27_1	A653_1432
SAMN02251306	SRR934851
0_023_08_1	A653_003
SAMN02251302	SRR934906
SAMN02251300	SRR934857
GTEX-OHPN	SRR608598
0_97_14_1	A653_1360
