0_012_08_1	A653_506
0_016_10_1	A653_1141
0_026_08_1	A653_354
0_004_06_1	A653_043
0_07_73_1	A653_996
0_007_09_1	A653_107
0_08_88_1	A653_1149
0_018_06_1	A653_331
0_002_10_1	A653_891
0_97_17_1	A653_1038
0_005_09_1	A653_112
0_028_08_1	A653_516
0_014_10_1	A653_1395
0_010_09_1	A653_124
0_016_07_1	A653_048
0_026_09_1	A653_383
0_018_07_1	A653_669
0_009_07_1	A653_696
0_028_10_1	A653_993
0_017_09_1	A653_283
0_021_10_1	A653_1067
0_09_56_1	A653_1154
0_04_05_1	A653_1332
0_036_09_1	A653_794
0_08_55_1	A653_1281
0_98_34_1	A653_985
0_038_08_1	A653_223
0_012_10_1	A653_917
0_016_08_1	A653_102
0_019_08_1	A653_623
0_018_10_1	A653_1288
0_95_27_1	A653_1304
0_015_09_1	A653_058
0_024_10_1	A653_1031
0_043_06_1	A653_483
0_004_08_1	A653_093
0_014_09_1	A653_211
0_034_08_1	A653_763
0_033_08_1	A653_190
0_039_06_1	A653_165
0_04_19_1	A653_1238
0_016_09_1	A653_157
0_013_10_1	A653_1441
0_03_28_1	A653_1185
0_019_10_1	A653_1130
0_014_08_1	A653_864
0_018_05_1	A653_752
0_025_09_1	A653_209
0_004_10_1	A653_899
0_024_08_1	A653_146
0_023_10_1	A653_1244
0_96_32_1	A653_1208
0_015_07_1	A653_056
0_023_09_1	A653_121
0_032_10_1	A653_1424
0_006_09_1	A653_057
0_034_06_1	A653_473
0_92_10_1	A653_1339
0_96_44_1	A653_1225
0_022_06_1	A653_111
0_025_08_1	A653_151
0_003_10_1	A653_944
0_021_09_1	A653_243
0_035_09_1	A653_719
0_95_26_1	A653_1241
0_98_27_1	A653_1432
0_023_08_1	A653_003
0_97_14_1	A653_1360
0_006_08_1	A653_434
0_011_09_1	A653_173
0_97_37_1	A653_1166
0_033_09_1	A653_673
0_030_09_1	A653_616
0_97_02_1	A653_1198
0_015_10_1	A653_1075
0_032_08_1	A653_234
0_029_09_1	A653_617
0_018_08_1	A653_012
0_020_08_1	A653_321
0_017_08_1	A653_643
0_003_08_1	A653_702
0_010_10_1	A653_964
0_94_35_1	A653_1136
0_036_08_1	A653_160
0_030_06_1	A653_679
0_022_08_1	A653_772
0_006_10_1	A653_932
0_011_10_1	A653_954
0_027_09_1	A653_762
0_013_09_1	A653_184
0_032_09_1	A653_651
0_026_07_1	A653_710
0_018_09_1	A653_034
0_001_06_1	A653_388
0_020_07_1	A653_519
0_012_09_1	A653_212
0_017_07_1	A653_115
0_009_09_1	A653_395
0_031_08_1	A653_145
0_007_06_1	A653_496
0_037_08_1	A653_066
0_020_10_1	A653_1147
0_022_09_1	A653_380
0_002_08_1	A653_453
0_028_09_1	A653_435
0_025_05_1	A653_381
0_021_08_1	A653_140
0_007_10_1	A653_890
0_001_10_1	A653_965
0_035_06_1	A653_379
0_040_08_1	A653_171
