SAMN02251128	SRR934987
SAMN02251248	SRR934876
SAMN02251124	SRR934801
SAMN02251122	SRR934800
SAMN02251364	SRR934970
SAMN02251241	SRR934887
SAMN02251240	SRR934884
SAMN06484437	SRR5319468
SAMN06484433	SRR5319472
SAMN06484435	SRR5319470
SAMN02999519	SRR2071347
SAMN02251139	SRR934957
SAMN02251250	SRR934736
SAMN02251146	SRR934908
SAMN02251265	SRR934737
SAMN02251262	SRR934738
SAMN02251260	SRR934721
SAMN05891442	SRR4407827
SAMN05891441	SRR4407826
SAMN05891444	SRR4407829
SAMN02251279	SRR934761
SAMN02251156	SRR934832
SAMN02251272	SRR934726
SAMN02251270	SRR934729
SAMN05891452	SRR4407838
SAMN06621763	SRR5361429
SAMN04900992	SRR3438810
SAMN04900991	SRR3438809
SAMN02251289	SRR934807
SAMN02251167	SRR934805
SAMN02251286	SRR934830
SAMN02251165	SRR934808
SAMN02251282	SRR934743
SAMN02251160	SRR934835
SAMN03279834	SRR1747149
SAMN02251280	SRR934746
SAMN04455040	SRR3141971
SAMN02251179	SRR934816
SAMN02251298	SRR934815
SAMN02251291	SRR934763
SAMN04455055	SRR3141985
SAMN04901220	SRR3438739
SAMN02251189	SRR934825
SAMN02251188	SRR934847
SAMN02251182	SRR934843
SAMN06830464	SRR5850222
SAMN02251199	SRR934820
SAMN06830466	SRR5850227
SAMN02251196	SRR934828
SAMN06830469	SRR5850230
SAMN02251195	SRR934803
SAMN02709066	SRR1206046
SAMEA3931523	ERR1363339
SAMEA3931521	ERR1363337
SAMEA2157437	ERR315477
SAMN02251099	SRR934778
SAMN02251098	SRR934777
SAMN02709063	SRR1206047
SAMN02251306	SRR934851
SAMN02251302	SRR934906
SAMN02251300	SRR934857
SAMN02251316	SRR934942
SAMN02251315	SRR934948
SAMN03651510	SRR2015767
SAMN02251209	SRR934765
SAMN02251327	SRR934941
SAMN02251326	SRR934930
SAMN02251324	SRR934895
SAMN02251202	SRR934809
SAMN02251320	SRR934936
SAMN05891428	SRR4407812
SAMN05891425	SRR4407808
SAMN02251218	SRR934754
SAMN02251216	SRR934870
SAMN02251335	SRR934940
SAMN02251332	SRR934946
SAMN02251210	SRR934762
SAMEA3931556	ERR1363372
SAMN05891438	SRR4407823
SAMN05891436	SRR4407820
SAMN05891433	SRR4407817
SAMN02251103	SRR934776
SAMN02251345	SRR934922
SAMN02251102	SRR934780
SAMN02251344	SRR934969
SAMN02251343	SRR934925
SAMN02251341	SRR934975
SAMN02251220	SRR934878
SAMEA3931543	ERR1363359
SAMN05163569	SRR3627970
SAMEA3931548	ERR1363364
SAMEA3931547	ERR1363363
SAMN02251118	SRR934795
SAMN05891409	SRR4407810
SAMN05891408	SRR4407799
SAMN02251236	SRR934886
SAMN02251235	SRR934871
SAMN02251233	SRR934866
SAMN05891410	SRR4407821
SAMEA3931533	ERR1363349
SAMEA3931532	ERR1363348
SAMN05891417	SRR4407800
SAMEA3931539	ERR1363355
SAMN05891414	SRR4407846
SAMN06621727	SRR5361465
