SRR1747158	SAMN03279818
SRR1393068	GTEX-131XH
SRR1458422	GTEX-YJ89
SRR1343115	GTEX-12WSE
SRR1086680	GTEX-XMD1
SRR1379562	GTEX-11ZTS
SRR1348021	GTEX-13OW8
SRR613366	GTEX-QVJO
SRR663681	GTEX-T6MN
SRR1456531	GTEX-13OVH
SRR1364893	GTEX-13FLV
SRR1453214	GTEX-ZYY3
SRR1429891	GTEX-145MH
SRR1486741	GTEX-13FHP
SRR664819	GTEX-QMR6
SRR1337119	GTEX-12WSH
SRR1441141	GTEX-139TT
SRR1385036	GTEX-13X6K
SRR1421140	GTEX-13OVL
SRR1311771	GTEX-11DZ1
SRR1360038	GTEX-1313W
SRR656179	GTEX-T2IS
SRR1441224	GTEX-YJ89
SRR819999	GTEX-WVLH
SRR1399904	GTEX-11PRG
SRR1499982	GTEX-Y111
SRR1408285	GTEX-13NYS
SRR820107	GTEX-WHSE
SRR1434250	GTEX-ZYFD
SRR1456841	GTEX-13CF2
SRR1407560	GTEX-12WSI
SRR1403915	GTEX-13OVH
SRR1499442	GTEX-13G51
SRR1382708	GTEX-ZF28
SRR1499785	GTEX-11EQ8
SRR1477104	GTEX-ZZPT
SRR607311	GTEX-N7MS
SRR1397266	GTEX-Z93S
SRR1471374	GTEX-13CZV
SRR1359367	GTEX-13FXS
SRR603596	GTEX-NL3H
SRR661290	GTEX-QDT8
SRR1440013	GTEX-11WQK
SRR1466357	GTEX-13PVQ
SRR1439850	GTEX-11WQC
SRR1472193	GTEX-14BIM
SRR1489054	GTEX-11EMC
SRR1445328	GTEX-13NYB
SRR657325	GTEX-QMR6
SRR1394677	GTEX-12WSH
SRR613498	GTEX-R55E
SRR1436444	GTEX-14A5I
SRR1335029	GTEX-12WSF
SRR1351325	GTEX-13OW7
SRR1409899	GTEX-13X6I
SRR1402513	GTEX-ZVT3
SRR817190	GTEX-WL46
SRR1357413	GTEX-12ZZY
SRR1401953	GTEX-13OW5
SRR1322163	GTEX-12ZZX
SRR1340095	GTEX-11NV4
SRR1394936	GTEX-13OW7
SRR655375	GTEX-TSE9
SRR1477773	GTEX-131XH
SRR1352129	GTEX-13JUV
SRR1394450	GTEX-14ASI
SRR607967	GTEX-N7MT
SRR1442356	GTEX-14DAQ
SRR1315842	GTEX-12ZZZ
SRR817258	GTEX-X4XX
SRR1429935	GTEX-13QIC
SRR1434867	GTEX-111FC
SRR1473185	GTEX-ZAB4
SRR1429307	GTEX-ZDXO
SRR1479912	GTEX-145MI
SRR815232	GTEX-WWYW
SRR1471417	GTEX-13OW6
SRR1317323	GTEX-13FHO
SRR1403875	GTEX-13OW5
SRR607887	GTEX-NL4W
SRR1434271	GTEX-1128S
SRR1405224	GTEX-12WSM
SRR1455060	GTEX-13PLJ
SRR600754	GTEX-N7MT
SRR657915	GTEX-T5JC
SRR1464305	GTEX-11NUK
SRR1325665	GTEX-Y8DK
SRR1419675	GTEX-13O3Q
SRR1098519	GTEX-X585
SRR1485954	GTEX-ZAJG
SRR1348770	GTEX-11ZUS
SRR1467255	GTEX-11DYG
SRR1393553	GTEX-13JVG
SRR600957	GTEX-NPJ7
SRR1479510	GTEX-13112
SRR807657	GTEX-WVLH
SRR816292	GTEX-WZTO
SRR663453	GTEX-T2IS
SRR1362060	GTEX-13JUV
SRR1319672	GTEX-13QIC
SRR1401552	GTEX-13VXU
SRR1465132	GTEX-147F4
SRR1456514	GTEX-13G51
SRR818188	GTEX-WL46
SRR612419	GTEX-RNOR
SRR1327811	GTEX-ZAB4
SRR1362183	GTEX-13OVJ
SRR1420891	GTEX-132Q8
SRR1432321	GTEX-11ZUS
SRR1322270	GTEX-13S7M
SRR1478294	GTEX-13OVJ
SRR1401062	GTEX-12126
SRR627462	GTEX-NPJ8
SRR1366057	GTEX-14ABY
SRR1467813	GTEX-11ZVC
SRR627451	GTEX-N7MS
SRR1452056	GTEX-131XW
SRR1404168	GTEX-YFC4
SRR1490382	GTEX-13RTJ
SRR659412	GTEX-S7SE
SRR1375907	GTEX-12WSE
SRR598533	GTEX-OHPN
SRR1441200	GTEX-ZDXO
SRR1481462	GTEX-11EI6
SRR1490568	GTEX-11GSO
SRR614323	GTEX-RVPV
SRR1477385	GTEX-14E7W
SRR810957	GTEX-X4EP
SRR601098	GTEX-NPJ7
SRR600876	GTEX-Q2AG
SRR1100872	GTEX-XMD1
SRR1317808	GTEX-14BIN
SRR608718	GTEX-Q2AG
SRR1318407	GTEX-13FHO
SRR1376270	GTEX-ZUA1
SRR1307770	GTEX-1192X
SRR1433644	GTEX-13FHP
SRR1368178	GTEX-11TTK
SRR1331944	GTEX-139TT
SRR1410934	GTEX-13VXU
SRR658813	GTEX-TSE9
SRR1338323	GTEX-ZE7O
SRR1406917	GTEX-13O3Q
SRR1361736	GTEX-117XS
SRR1335377	GTEX-11GSP
SRR604098	GTEX-N7MS
SRR1498702	GTEX-ZVZQ
SRR1340420	GTEX-1313W
SRR1440119	GTEX-12ZZZ
SRR814563	GTEX-WHSE
SRR1388323	GTEX-132Q8
SRR662799	GTEX-UTHO
SRR1457418	GTEX-13NZA
SRR1377984	GTEX-13RTJ
SRR1387072	GTEX-13O3O
SRR1460170	GTEX-13FTY
SRR1315799	GTEX-13PVQ
SRR662570	GTEX-P44H
SRR1394799	GTEX-13O3O
SRR1097752	GTEX-X261
SRR1322010	GTEX-12WSD
SRR1446071	GTEX-145MI
SRR1456903	GTEX-13IVO
SRR660812	GTEX-T6MN
SRR1377445	GTEX-13X6K
SRR1356204	GTEX-Z93S
SRR1341605	GTEX-13CF2
SRR1352415	GTEX-ZUA1
SRR1479239	GTEX-Y8DK
SRR1097392	GTEX-WZTO
SRR1384234	GTEX-14BIN
