GTEX-11EQ8	SRR1499785
AN17254	AN17254_vermis_100
AN07444	AN07444_vermis
11506	11506_CER
CGND-HDA-00552-b38	HRA_00620
11505	11505_CER
1214	1214_CER
11507	11507_CER
11500	11500_CER
GTEX-13CF2	SRR1341605
11502	11502_CER
CGND-HDA-01313-b38	HRA_00319
UMB1578	UMB1578_vermis
GTEX-11GSO	SRR1490568
GTEX-11GSP	SRR1335377
GTEX-ZYFD	SRR1434250
1105	1105_CER
CGND-HDA-00560-b38	HRA_00653
1104	1104_CER
1103	1103_CER
6913	6913_CER
UMB4842	UMB4842_vermis
6915	6915_CER
6914	6914_CER
GTEX-12WSF	SRR1335029
GTEX-12WSH	SRR1337119
CGND-HDA-01476	HRA_00718
GTEX-12WSI	SRR1407560
GTEX-12WSE	SRR1375907
GTEX-WVLH	SRR807657
1239	1239_CER
GTEX-13JVG	SRR1393553
GTEX-WZTO	SRR1097392
GTEX-12WS9	SRR1485290
6929	6929_CER
1114	1114_CER
AN10833	AN10833_vermis_48
GTEX-139TT	SRR1331944
931	931_CER
812	812_CER
933	933_CER
813	813_CER
CGND-HDA-00592-b38	HRA_00205
816	816_CER
937	937_CER
1119	1119_CER
6925	6925_CER
GTEX-ZUA1	SRR1376270
CGND-HDA-00521-b38	HRA_00156
1010	1010_CER
GTEX-X4EP	SRR1440763
1129	1129_CER
6819	6819_CER
AN10723	AN10723_vermis
6810	6810_CER
946	946_CER
GTEX-13FLV	SRR1364893
948	948_CER
GTEX-UTHO	SRR662799
CGND-HDA-00197-b38	HRA_00078
GTEX-13IVO	SRR1456903
GTEX-12ZZZ	SRR1440119
1019	1019_CER
AN11864	AN11864_vermis
1137	1137_CER
1258	1258_CER
1015	1015_CER
GTEX-14ABY	SRR1366057
952	952_CER
GTEX-12ZZY	SRR1357413
6821	6821_CER
834	834_CER
716	716_CER
CGND-HDA-00189-b38	HRA_00070
CGND-HDA-00200-b38	HRA_00081
GTEX-117XS	SRR1361736
719	719_CER
CGND-HDA-00464-b38	HRA_00099
GTEX-Y8DK	SRR1479239
1271	1271_CER
CGND-HDA-00543-b38	HRA_00531
GTEX-139UW	SRR1435884
GTEX-QDT8	SRR661290
1029	1029_CER
1027	1027_CER
1146	1146_CER
CGND-HDA-01312-b38	HRA_00311
6952	6952_CER
966	966_CER
CGND-HDA-01330-b38	HRA_00434
849	849_CER
GTEX-12WSM	SRR1405224
GTEX-11TTK	SRR1368178
CGND-HDA-00469-b38	HRA_00104
CGND-HDA-00486-b38	HRA_00121
1282	1282_CER
AN08677	AN08677_vermis
AN09402	AN09402_vermis
GTEX-YFC4	SRR1404168
1159	1159_CER
851	851_CER
731	731_CER
1036	1036_CER
GTEX-R55E	SRR614383
732	732_CER
1034	1034_CER
976	976_CER
CGND-HDA-01328-b38	HRA_00422
736	736_CER
GTEX-WL46	SRR818188
GTEX-145MI	SRR1446071
GTEX-145MH	SRR1429891
GTEX-T2IS	SRR663453
6863	6863_CER
UMB1670	UMB1670_vermis
1052	1052_CER
1172	1172_CER
CGND-HDA-00471-b38	HRA_00106
1046	1046_CER
1045	1045_CER
1166	1166_CER
744	744_CER
746	746_CER
CGND-HDA-00196-b38	HRA_00077
CGND-HDA-00559-b38	HRA_00194
GTEX-13OW6	SRR1471417
6870	6870_CER
GTEX-13OW5	SRR1403875
6872	6872_CER
11460	11460_CER
CGND-HDA-00201-b38	HRA_00082
GTEX-13OVJ	SRR1362183
0_UMARY-4546_UMARY-4546	SRR5589252
GTEX-ZE7O	SRR1338323
GTEX-13OVL	SRR1398992
1183	1183_CER
CGND-HDA-00465-b38	HRA_00100
GTEX-13OVH	SRR1403915
GTEX-T5JC	SRR655684
11349	11349_CER
991	991_CER
871	871_CER
751	751_CER
1059	1059_CER
1058	1058_CER
11463	11463_CER
11342	11342_CER
11341	11341_CER
11465	11465_CER
11344	11344_CER
CGND-HDA-00473-b38	HRA_00108
11464	11464_CER
11469	11469_CER
11468	11468_CER
GTEX-RVPV	SRR614323
6880	6880_CER
11470	11470_CER
11472	11472_CER
11471	11471_CER
GTEX-13N2G	SRR1402473
CGND-HDA-00493-b38	HRA_00128
AN14829	AN14829_vermis
886	886_CER
766	766_CER
GTEX-14A5I	SRR1436444
11474	11474_CER
11353	11353_CER
11476	11476_CER
11355	11355_CER
11475	11475_CER
11357	11357_CER
11358	11358_CER
CGND-HDA-02045	HRA_00706
6894	6894_CER
CGND-HDA-01311-b38	HRA_00303
GTEX-147F4	SRR1465132
1085	1085_CER
11449	11449_CER
892	892_CER
11448	11448_CER
11329	11329_CER
894	894_CER
GTEX-ZDXO	SRR1429307
GTEX-S7SE	SRR659412
775	775_CER
896	896_CER
CGND-HDA-01327-b38	HRA_00416
777	777_CER
1078	1078_CER
11320	11320_CER
11440	11440_CER
11443	11443_CER
11445	11445_CER
11323	11323_CER
11447	11447_CER
11326	11326_CER
11325	11325_CER
CGND-HDA-01318-b38	HRA_00357
AN00764	AN00764_vermis_63
CGND-HDA-00195-b38	HRA_00076
GTEX-QVUS	SRR657997
GTEX-T6MN	SRR663681
1098	1098_CER
GTEX-P44H	SRR662570
11338	11338_CER
783	783_CER
785	785_CER
786	786_CER
787	787_CER
1089	1089_CER
11452	11452_CER
11331	11331_CER
GTEX-11EI6	SRR1481462
11330	11330_CER
GTEX-ZVZQ	SRR1498702
11333	11333_CER
11332	11332_CER
GTEX-13OW8	SRR1348021
11456	11456_CER
CGND-HDA-00594-b38	HRA_00207
GTEX-13OW7	SRR1394936
11334	11334_CER
11458	11458_CER
11337	11337_CER
11457	11457_CER
GTEX-13FHO	SRR1318407
CGND-HDA-00553-b38	HRA_00549
GTEX-11ZVC	SRR1467813
791	791_CER
CGND-HDA-00519-b38	HRA_00154
11427	11427_CER
11306	11306_CER
GTEX-X4XX	SRR1080927
11305	11305_CER
11426	11426_CER
11429	11429_CER
UMB5163	UMB5163_vermis
11307	11307_CER
11309	11309_CER
797	797_CER
GTEX-11ZUS	SRR1348770
UMB5168	UMB5168_vermis
11300	11300_CER
CGND-HDA-02061	HRA_00720
11423	11423_CER
11422	11422_CER
11425	11425_CER
11303	11303_CER
11424	11424_CER
CGND-HDA-02057	HRA_00598
CGND-HDA-02053	HRA_00585
CGND-HDA-02052	HRA_00713
CGND-HDA-01326-b38	HRA_00410
GTEX-1192X	SRR1307770
GTEX-11ZTS	SRR1379562
11317	11317_CER
11319	11319_CER
AN10028	AN10028_vermis_117
11430	11430_CER
11432	11432_CER
11431	11431_CER
11313	11313_CER
11312	11312_CER
11314	11314_CER
CGND-HDA-00567-b38	HRA_00202
11404	11404_CER
CGND-HDA-00194-b38	HRA_00075
11408	11408_CER
GTEX-11WQK	SRR1440013
CGND-HDA-01310-b38	HRA_00295
GTEX-111FC	SRR1434867
GTEX-X261	SRR1398839
AN08161	AN08161_vermis
GTEX-13NZA	SRR1457418
GTEX-Y111	SRR1499982
11400	11400_CER
11403	11403_CER
CGND-HDA-01319-b38	HRA_00365
CGND-HDA-00531-b38	HRA_00166
11402	11402_CER
GTEX-13NZ8	SRR1335856
AN02987	AN02987_vermis
GTEX-13NYS	SRR1408285
AN01410	AN01410_vermis_69
GTEX-11EMC	SRR1489054
11417	11417_CER
UMB5079	UMB5079_vermis
GTEX-14DAQ	SRR1442356
11410	11410_CER
11412	11412_CER
GTEX-13RTJ	SRR1377984
GTEX-ZF28	SRR1439674
