AN17254	AN17254_vermis_100
AN07444	AN07444_vermis
UMB1578	UMB1578_vermis
UMB4842	UMB4842_vermis
AN10833	AN10833_vermis_48
AN10723	AN10723_vermis
AN11864	AN11864_vermis
AN08677	AN08677_vermis
AN09402	AN09402_vermis
UMB1670	UMB1670_vermis
AN14829	AN14829_vermis
AN00764	AN00764_vermis_63
UMB5163	UMB5163_vermis
UMB5168	UMB5168_vermis
AN10028	AN10028_vermis_117
AN08161	AN08161_vermis
AN02987	AN02987_vermis
AN01410	AN01410_vermis_69
UMB5079	UMB5079_vermis
AN00493	AN00493_vermis_105x
UMB5242	UMB5242_vermis
AN00142	AN00142_vermis_57
UMB5144	UMB5144_vermis
AN03632	AN03632_vermis
AN05983	AN05983_vermis
UMB4590	UMB4590_vermis
AN03217	AN03217_vermis_93
AN16641	AN16641_vermis_75
AN01125	AN01125_vermis_24
UMB5340	UMB5340_vermis
AN12137	AN12137_vermis_21
UMB5115	UMB5115_vermis
AN13295	AN13295_vermis_90
UMB5309	UMB5309_vermis
AN04682	AN04682_vermis
AN15566	AN15566_vermis_30
AN17515	AN17515_vermis
AN16115	AN16115_vermis_72
UMB4999	UMB4999_vermis
AN19760	AN19760_vermis_27
AN09714	AN09714_vermis
AN08873	AN08873_vermis_78
AN06420	AN06420_vermis_54
AN01093	AN01093_vermis_108
AN17425	AN17425_vermis
AN17678	AN17678_vermis
