R5609	Br1947
R4283	5511205003_R01C01
R4290	5511192073_R01C01
R4036	Br1901
R5598	Br2022
R4412	5532971117_R01C01
R3934	Br1430
R3945	Br1651
R4062	6017049073_R01C01
R4209	Br1554
R3708	Br1752
R5833	6051001032_R01C01
R2910	Br1511
R4034	Br1896
R4365	5533009059_R01C02
R2959	Br1562
R4427	5533009080_R01C01
R4377	5532997168_R01C01
R5821	5535549071_R01C02
R4327	5533017075_R01C01
R5632	Br2083
R2909	Br1454
R3882	Br1437
R5777	5535549072_R01C01
R3655	Br1749
R4419	5532971116_R01C01
R3641	Br1744
R4425	5533009059_R01C01
R3620	Br1760
R2858	Br1414
R2986	Br1677
R4288	5511192132_R01C01
R4379	5532971067_R01C01
R2799	Br1197
R4385	5533009029_R01C01
R5745	Br2269
R4378	5533009060_R01C02
R5831	5535549053_R01C02
R4061	Br1821
R4358	5535549031_R01C02
R5739	Br1992
R4430	5535549031_R01C01
R5614	Br1984
R2998	Br1734
R3933	Br1404
R4390	5511192117_R01C02
R3986	Br1163
R4293	5511192073_R01C02
R3976	Br1661
2015-1472	2015-1472
2015-1341	2015-1341
2015-767	2015-767
2016-922	2016-922
2015-3080	2015-3080
2015-516	2015-516
2015-2590	2015-2590
2015-353	2015-353
2015-2585	2015-2585
2015-19	2015-19
2015-2623	2015-2623
2016-932	2016-932
2015-738	2015-738
2016-930	2016-930
2015-766	2015-766
2015-3237	2015-3237
2015-2577	2015-2577
2015-2589	2015-2589
2015-1476	2015-1476
2015-245	2015-245
2014-2627	2014-2627
2016-870	2016-870
2015-2581	2015-2581
2016-896	2016-896
2016-947	2016-947
2015-286	2015-286
2016-791	2016-791
2015-773	2015-773
2015-3279	2015-3279
2015-37	2015-37
2016-962	2016-962
2015-2952	2015-2952
2015-1435	2015-1435
2016-933	2016-933
2015-3230	2015-3230
2015-2572	2015-2572
2015-733	2015-733
2016-833	2016-833
2015-1552	2015-1552
2015-894	2015-894
2015-735	2015-735
2015-770	2015-770
2015-17	2015-17
2015-3081	2015-3081
2016-958	2016-958
2016-831	2016-831
2015-859	2015-859
2015-3281	2015-3281
2015-1533	2015-1533
2015-2951	2015-2951
2015-244	2015-244
2015-3079	2015-3079
2015-3235	2015-3235
2015-865	2015-865
2015-1343	2015-1343
2016-826	2016-826
2016-866	2016-866
2015-1512	2015-1512
2015-517	2015-517
