GTEX-13JUV	SRR1457482
CGND-HDA-02479	HRA_01204
Br1137	Br1137_R3985
Br1134	Br1134_R3467
Br1135	Br1135_R4215
Br1122	Br1122_R5861
Br1118	Br1118_R3635
Br1111	Br1111_R2845
Br1105	Br1105_R3098
Br1102	Br1102_R2893
Br2413	Br2413_R5811
Br2412	Br2412_R5810
Br2403	Br2403_R5797
GTEX-131XH	SRR1459718
GTEX-13SLX	SRR1459804
Br1191	Br1191_R3444
Br1193	Br1193_R5863
Br1190	Br1190_R3563
Br1185	Br1185_R2944
Br1187	Br1187_R4181
Br1179	Br1179_R3927
Br1167	Br1167_R3469
Br1164	Br1164_R2907
GTEX-NL3H	SRR600608
Br1156	Br1156_R5862
Br1157	Br1157_R2836
Br1150	Br1150_R4011
Br1148	Br1148_R3468
Br1143	Br1143_R3396
Br1142	Br1142_R2894
CGND-HDA-00563-b38	HRA_01240
Br1927	CMC_HBCC_RNA_PFC_3374
Br1918	Br1918_R4068
Br1912	Br1912_R5618
GTEX-12WSD	SRR1471817
Br1908	Br1908_R4037
Br1905	Br1905_R3678
Br1900	Br1900_R3677
71718	BM_22_86
71714	hB_RNA_10742
71736	hB_RNA_8085
71753	BM_22_130
0_MSSM_86	MSSM_RNA_PFC_86
0_MSSM_82	MSSM_RNA_PFC_82
0_PITT_1706	PITT_RNA_PFC_1706
Br1994	Br1994_R5592
Br1989	Br1989_R5593
Br1981	Br1981_R4073
Br1974	CMC_HBCC_RNA_PFC_3364
Br1967	CMC_HBCC_RNA_PFC_3201
Br1968	Br1968_R4258
Br1965	Br1965_R4255
Br1964	Br1964_R4254
Br1941	Br1941_R4043
Br1942	Br1942_R3775
Br1017	Br1017_R3079
Br1006	Br1006_R3991
Br1004	Br1004_R3050
0_PITT_1686	PITT_RNA_PFC_1686
GTEX-Q2AG	SRR602728
GTEX-11UD1	SRR1447259
0_PITT_1649	PITT_RNA_PFC_1649
Br1099	Br1099_R2835
Br1081	Br1081_R2834
Br1084	CMC_HBCC_RNA_PFC_2984
Br1067	CMC_HBCC_RNA_PFC_3045
Br1069	Br1069_R3924
Br1060	Br1060_R4228
Br1056	Br1056_R4227
Br1053	Br1053_R3051
Br1050	Br1050_R3611
71695	hB_RNA_5111
71693	hB_RNA_12924
Br1041	Br1041_R4107
Br1040	Br1040_R3466
CGND-HDA-02521	HRA_01187
Br1039	Br1039_R3537
0_Pitt_BP_1632	PITT_RNA_BP_PFC_1632
Br1030	Br1030_R3890
Br1025	Br1025_R3647
Br2351	Br2351_R6535
Br1021	Br1021_R3906
CGND-HDA-00544-b38	HRA_00582
UMB4849	UMB4849_ba9
71805	BM_36_383
71828	hB_RNA_4663
71856	hB_RNA_4731
70524	BM_10_691
71846	hB_RNA_16285
0_PITT_1191	PITT_RNA_PFC_1191
71867	BM_10_588
71857	hB_RNA_8895
71878	hB_RNA_9174
71875	BM_10_739
71876	BM_10_791
Br1418	Br1418_R4111
Br1410	Br1410_R3895
Br1408	Br1408_R3554
Br1407	Br1407_R3470
0_PITT_587	PITT_RNA_PFC_587
0_PITT_592	PITT_RNA_PFC_592
GTEX-11WQC	SRR1500868
Br1371	CMC_HBCC_RNA_PFC_3027
0_PITT_516	PITT_RNA_PFC_516
Br1358	Br1358_R3399
Br1346	Br1346_R4171
Br1348	Br1348_R3495
Br1342	Br1342_R3660
Br1340	CMC_HBCC_RNA_PFC_3098
Br1325	Br1325_R5865
Br1324	CMC_HBCC_RNA_PFC_3067
Br1326	Br1326_R4109
Br1321	Br1321_R3434
Br1320	Br1320_R4108
Br1314	Br1314_R5904
Br1315	Br1315_R3398
Br1306	Br1306_R3384
Br1303	Br1303_R2810
0_PITT_547	PITT_RNA_PFC_547
0_PITT_1178	PITT_RNA_PFC_1178
70475	hB_RNA_17065
Br1399	Br1399_R3386
Br1390	Br1390_R3517
GTEX-12126	SRR1327593
UMB4787	UMB4787_ba9
71920	BM_36_464
71928	BM_22_174
71944	BM_36_328
71945	BM_36_290
0_PITT_1092	PITT_RNA_BP_PFC_1092
71965	BM_10_790
71956	hB_RNA_10922
71975	BM_10_749
70640	hB_RNA_9137
71971	BM_22_272
71969	BM_36_538
71979	hB_RNA_12191
GTEX-145MG	SRR1486097
71996	BM_22_151
70659	hB_RNA_11092
GTEX-TSE9	SRR657635
UMB5176	UMB5176_ba9
Br1250	Br1250_R3887
Br1235	Br1235_R3432
Br1228	Br1228_R2945
Br1227	Br1227_R3002
Br1221	Br1221_R2895
0_PITT_625	PITT_RNA_PFC_625
Br1218	Br1218_R3601
GTEX-11NV4	SRR1433088
0_PITT_665	PITT_RNA_PFC_665
0_PITT_656	PITT_RNA_PFC_656
71898	hB_RNA_8625
71890	BM_22_270
0_MSSM_BP_23	MSSM_RNA_BP_PFC_23
0_Pitt_BP_10019	PITT_RNA_BP_PFC_10019
Br1298	Br1298_R3929
Br1297	Br1297_R3478
Br1292	Br1292_R3604
Br1289	Br1289_R3565
Br1283	Br1283_R3575
Br1285	Br1285_R3373
Br1280	CMC_HBCC_RNA_PFC_3017
Br1282	Br1282_R3564
Br1281	Br1281_R3494
Br1276	Br1276_R3456
Br1275	CMC_HBCC_RNA_PFC_3080
CGND-HDA-00557-b38	HRA_01228
Br1265	CMC_HBCC_RNA_PFC_3040
Br1263	Br1263_R3446
0_MSSM_205	MSSM_RNA_PFC_205
0_MSSM_200	MSSM_RNA_PFC_200
0_MSSM_208	MSSM_RNA_PFC_208
68411	BM_10_722
68425	BM_22_196
0_MSSM_230	MSSM_RNA_PFC_230
GTEX-13FLW	SRR1341365
68433	BM_36_282
68435	hB_RNA_16095
Br2091	Br2091_R4334
Br2076	Br2076_R5624
Br2074	Br2074_R5623
Br1657	Br1657_R4200
0_MSSM_279	MSSM_RNA_PFC_279
0_MSSM_276	MSSM_RNA_PFC_276
Br1644	Br1644_R3944
0_MSSM_296	MSSM_RNA_PFC_296
GTEX-13FHP	SRR1445149
Br1615	Br1615_R3009
Br1611	Br1611_R4021
CGND-HDA-02056	HRA_01260
Br1604	Br1604_R2912
CGND-HDA-02055	HRA_00595
Br1605	Br1605_R3016
CGND-HDA-02054	HRA_00590
0_MSSM_262	MSSM_RNA_PFC_262
GTEX-13NYB	SRR1414897
0_PITT_1307	PITT_RNA_PFC_1307
AN14757	AN14757_BA4_6
Br1590	Br1590_R3015
Br1588	Br1588_R3898
Br1585	Br1585_R2816
Br1579	Br1579_R2885
Br1576	Br1576_R3030
Br1571	Br1571_R2947
GTEX-14ASI	SRR1416434
Br1563	Br1563_R5859
Br1556	Br1556_R3939
0_PITT_781	PITT_RNA_PFC_781
Br1552	Br1552_R4121
0_PITT_787	PITT_RNA_PFC_787
Br1548	Br1548_R4184
Br2064	Br2064_R5629
Br2053	CMC_HBCC_RNA_PFC_3075
Br2047	Br2047_R4006
Br2046	Br2046_R5622
Br2049	Br2049_R4707
Br2038	Br2038_R5600
GTEX-13FXS	SRR1474777
Br2020	Br2020_R5597
0_PENN_94	PENN_RNA_PFC_94
0_PENN_90	PENN_RNA_PFC_90
SM-CTEFB	884_130923
0_PITT_722	PITT_RNA_PFC_722
