0_MSSM_86	MSSM_RNA_PFC_86
0_MSSM_82	MSSM_RNA_PFC_82
0_PITT_1706	PITT_RNA_PFC_1706
0_PITT_1686	PITT_RNA_PFC_1686
0_PITT_1649	PITT_RNA_PFC_1649
0_Pitt_BP_1632	PITT_RNA_BP_PFC_1632
0_PITT_1191	PITT_RNA_PFC_1191
0_PITT_587	PITT_RNA_PFC_587
0_PITT_592	PITT_RNA_PFC_592
0_PITT_516	PITT_RNA_PFC_516
0_PITT_547	PITT_RNA_PFC_547
0_PITT_1178	PITT_RNA_PFC_1178
0_PITT_1092	PITT_RNA_BP_PFC_1092
0_PITT_625	PITT_RNA_PFC_625
0_PITT_665	PITT_RNA_PFC_665
0_PITT_656	PITT_RNA_PFC_656
0_MSSM_BP_23	MSSM_RNA_BP_PFC_23
0_Pitt_BP_10019	PITT_RNA_BP_PFC_10019
0_MSSM_205	MSSM_RNA_PFC_205
0_MSSM_200	MSSM_RNA_PFC_200
0_MSSM_208	MSSM_RNA_PFC_208
0_MSSM_230	MSSM_RNA_PFC_230
0_MSSM_279	MSSM_RNA_PFC_279
0_MSSM_276	MSSM_RNA_PFC_276
0_MSSM_296	MSSM_RNA_PFC_296
0_MSSM_262	MSSM_RNA_PFC_262
0_PITT_1307	PITT_RNA_PFC_1307
0_PITT_781	PITT_RNA_PFC_781
0_PITT_787	PITT_RNA_PFC_787
0_PENN_94	PENN_RNA_PFC_94
0_PENN_90	PENN_RNA_PFC_90
0_PITT_722	PITT_RNA_PFC_722
0_PITT_727	PITT_RNA_PFC_727
0_MSSM_314	MSSM_RNA_PFC_314
0_MSSM_319	MSSM_RNA_PFC_319
0_MSSM_323	MSSM_RNA_PFC_323
0_MSSM_309	MSSM_RNA_PFC_309
0_MSSM_BP_8	MSSM_RNA_BP_PFC_8
0_MSSM_361	MSSM_RNA_PFC_361
0_MSSM_354	MSSM_RNA_PFC_354
0_MSSM_370	MSSM_RNA_PFC_370
0_MSSM_366	MSSM_RNA_PFC_366
0_MSSM_379	MSSM_RNA_PFC_379
0_MSSM_375	MSSM_RNA_PFC_375
0_MSSM_374	MSSM_RNA_PFC_374
0_MSSM_386	MSSM_RNA_PFC_386
0_MSSM_4	MSSM_RNA_PFC_4
0_PITT_10025	PITT_RNA_PFC_10025
0_PITT_10024	PITT_RNA_PFC_10024
0_PITT_10023	PITT_RNA_PFC_10023
0_PITT_1268	PITT_RNA_PFC_1268
0_PITT_1240	PITT_RNA_PFC_1240
0_PITT_822	PITT_RNA_PFC_822
0_MSSM_55	MSSM_RNA_PFC_55
0_MSSM_58	MSSM_RNA_PFC_58
0_MSSM_30	MSSM_RNA_PFC_30
0_MSSM_31	MSSM_RNA_PFC_31
0_MSSM_27	MSSM_RNA_PFC_260
0_PENN_8	PENN_RNA_PFC_8
0_PENN_2	PENN_RNA_PFC_2
0_PENN_1	PENN_RNA_PFC_1
0_MSSM_11	MSSM_RNA_PFC_11
0_PENN_53	PENN_RNA_PFC_53
0_MSSM_106	MSSM_RNA_PFC_106
0_PENN_85	PENN_RNA_PFC_85
0_PENN_12	PENN_RNA_PFC_12
0_PENN_10	PENN_RNA_PFC_10
0_PENN_26	PENN_RNA_PFC_26
0_PENN_25	PENN_RNA_PFC_25
0_PENN_22	PENN_RNA_PFC_22
0_PENN_37	PENN_RNA_PFC_37
0_PENN_47	PENN_RNA_PFC_47
0_MSSM_162	MSSM_RNA_PFC_162
0_MSSM_155	MSSM_RNA_PFC_155
0_MSSM_154	MSSM_RNA_PFC_154
0_MSSM_170	MSSM_RNA_PFC_170
0_MSSM_166	MSSM_RNA_PFC_166
0_MSSM_195	MSSM_RNA_PFC_195
0_MSSM_197	MSSM_RNA_PFC_197
0_MSSM_188	MSSM_RNA_PFC_188
0_MSSM_130	MSSM_RNA_PFC_130
0_MSSM_128	MSSM_RNA_PFC_128
0_MSSM_122	MSSM_RNA_PFC_122
0_MSSM_140	MSSM_RNA_PFC_140
0_MSSM_136	MSSM_RNA_PFC_136
0_MSSM_145	MSSM_RNA_PFC_145
0_Pitt_BP_1429	PITT_RNA_BP_PFC_1429
0_PITT_1466	PITT_RNA_PFC_1466
