Br1134	Br1134_R3467
Br1122	Br1122_R5861
Br1102	Br1102_R2893
Br2413	Br2413_R5811
Br2412	Br2412_R5810
Br2403	Br2403_R5797
Br1191	Br1191_R3444
Br1179	Br1179_R3927
Br1167	Br1167_R3469
Br1156	Br1156_R5862
Br1143	Br1143_R3396
Br1142	Br1142_R2894
Br1927	CMC_HBCC_RNA_PFC_3374
Br1918	Br1918_R4068
Br1912	Br1912_R5618
Br1908	Br1908_R4037
Br1905	Br1905_R3678
Br1900	Br1900_R3677
Br1994	Br1994_R5592
Br1989	Br1989_R5593
Br1981	Br1981_R4073
Br1974	CMC_HBCC_RNA_PFC_3364
Br1967	CMC_HBCC_RNA_PFC_3201
Br1968	Br1968_R4258
Br1941	Br1941_R4043
Br1942	Br1942_R3775
Br1017	Br1017_R3079
Br1004	Br1004_R3050
Br1099	Br1099_R2835
Br1081	Br1081_R2834
Br1084	CMC_HBCC_RNA_PFC_2984
Br1067	CMC_HBCC_RNA_PFC_3045
Br1056	Br1056_R4227
Br1053	Br1053_R3051
Br1050	Br1050_R3611
Br1041	Br1041_R4107
Br1040	Br1040_R3466
Br1030	Br1030_R3890
Br1025	Br1025_R3647
Br1021	Br1021_R3906
Br1418	Br1418_R4111
Br1408	Br1408_R3554
Br1371	CMC_HBCC_RNA_PFC_3027
Br1358	Br1358_R3399
Br1340	CMC_HBCC_RNA_PFC_3098
Br1325	Br1325_R5865
Br1324	CMC_HBCC_RNA_PFC_3067
Br1326	Br1326_R4109
Br1321	Br1321_R3434
Br1320	Br1320_R4108
Br1314	Br1314_R5904
Br1315	Br1315_R3398
Br1306	Br1306_R3384
Br1303	Br1303_R2810
Br1399	Br1399_R3386
Br1390	Br1390_R3517
Br1235	Br1235_R3432
Br1221	Br1221_R2895
Br1298	Br1298_R3929
Br1283	Br1283_R3575
Br1280	CMC_HBCC_RNA_PFC_3017
Br1282	Br1282_R3564
Br1276	Br1276_R3456
Br1275	CMC_HBCC_RNA_PFC_3080
Br1265	CMC_HBCC_RNA_PFC_3040
Br2091	Br2091_R4334
Br2076	Br2076_R5624
Br2074	Br2074_R5623
Br1605	Br1605_R3016
Br1590	Br1590_R3015
Br1588	Br1588_R3898
Br1585	Br1585_R2816
Br1579	Br1579_R2885
Br1576	Br1576_R3030
Br1552	Br1552_R4121
Br2064	Br2064_R5629
Br2053	CMC_HBCC_RNA_PFC_3075
Br2047	Br2047_R4006
Br2046	Br2046_R5622
Br2049	Br2049_R4707
Br2038	Br2038_R5600
Br2020	Br2020_R5597
Br2003	Br2003_R4051
Br2002	CMC_HBCC_RNA_PFC_3403
Br1538	Br1538_R3912
Br1536	CMC_HBCC_RNA_PFC_3149
Br763	Br763_R3622
Br1527	Br1527_R3988
Br1522	Br1522_R3567
Br1525	Br1525_R3897
Br1517	Br1517_R4207
Br1509	Br1509_R3974
Br1504	CMC_HBCC_RNA_PFC_3088
Br1503	Br1503_R4243
Br1492	Br1492_R3577
Br1485	Br1485_R3005
Br1473	CMC_HBCC_RNA_PFC_3134
Br1464	Br1464_R3092
Br1459	Br1459_R3544
Br1447	Br1447_R4242
Br1442	Br1442_R3543
Br1441	Br1441_R4175
Br1420	Br1420_R3408
Br1816	Br1816_R3416
Br1813	Br1813_R3880
Br1812	Br1812_R3415
Br1814	Br1814_R3403
Br1811	Br1811_R3464
Br1806	Br1806_R3878
Br1805	Br1805_R3452
Br1808	Br1808_R3879
Br1802	Br1802_R3392
Br1801	Br1801_R3391
Br1804	Br1804_R3877
Br1803	Br1803_R3485
Br1800	Br1800_R3709
Br1898	Br1898_R3676
Br884	Br884_R3599
Br885	Br885_R3417
Br1883	Br1883_R3673
Br891	Br891_R3646
Br873	Br873_R3645
Br846	Br846_R4225
Br1840	Br1840_R3666
Br859	Br859_R3393
Br858	Br858_R3888
Br855	Br855_R3633
Br856	Br856_R3598
Br1832	Br1832_R3656
Br823	Br823_R3087
Br1824	Br1824_R3440
Br831	Br831_R4105
Br836	Br836_R3597
Br2229	Br2229_R4353
Br1798	Br1798_R3402
Br1794	Br1794_R3377
Br1793	Br1793_R3475
Br1796	Br1796_R3438
Br1795	Br1795_R3401
Br1792	Br1792_R3875
Br1791	Br1791_R3683
Br1788	Br1788_R3413
Br1780	Br1780_R4269
Br2267	Br2267_R5744
Br2263	CMC_HBCC_RNA_PFC_3883
Br2261	Br2261_R5627
Br2233	Br2233_R5822
Br1777	Br1777_R3449
Br989	Br989_R3969
Br1745	Br1745_R5846
Br1740	Br1740_R2867
Br963	CMC_HBCC_RNA_PFC_2982
Br1721	Br1721_R4162
Br1722	Br1722_R5868
Br978	CMC_HBCC_RNA_PFC_3046
Br949	CMC_HBCC_RNA_PFC_3172
Br948	Br948_R4168
Br946	Br946_R4226
Br943	Br943_R4010
Br1703	Br1703_R2890
Br1700	Br1700_R3977
Br938	Br938_R3634
Br909	Br909_R3429
Br914	Br914_R3381
Br910	Br910_R3920
Br1693	CMC_HBCC_RNA_PFC_2970
Br1688	Br1688_R2828
Br1672	Br1672_R2889
Br1665	CMC_HBCC_RNA_PFC_3004
Br1664	Br1664_R2866
Br1663	Br1663_R2841
Br2184	Br2184_R4388
Br2176	Br2176_R4401
Br2144	Br2144_R4417
