0_MSSM_99	MSSM_RNA_PFC_99
0_MSSM_83	MSSM_RNA_PFC_83
0_PITT_621	PITT_RNA_PFC_621
0_MSSM_278	MSSM_RNA_PFC_278
0_MSSM_287	MSSM_RNA_PFC_287
0_MSSM_298	MSSM_RNA_PFC_298
0_MSSM_231	MSSM_RNA_PFC_231
0_MSSM_244	MSSM_RNA_PFC_244
0_MSSM_255	MSSM_RNA_PFC_255
0_MSSM_271	MSSM_RNA_PFC_271
0_Pitt_BP_1121	PITT_RNA_BP_PFC_1121
0_MSSM_327	MSSM_RNA_PFC_327
0_MSSM_339	MSSM_RNA_PFC_339
0_MSSM_355	MSSM_RNA_PFC_355
0_MSSM_365	MSSM_RNA_PFC_365
0_MSSM_382	MSSM_RNA_PFC_382
0_MSSM_384	MSSM_RNA_PFC_384
0_MSSM_378	MSSM_RNA_PFC_378
0_MSSM_387	MSSM_RNA_PFC_387
0_MSSM_6	MSSM_RNA_PFC_6
0_MSSM_5	MSSM_RNA_PFC_5
0_MSSM_68	MSSM_RNA_PFC_68
0_MSSM_51	MSSM_RNA_PFC_51
0_MSSM_37	MSSM_RNA_PFC_37
0_MSSM_36	MSSM_RNA_PFC_36
0_MSSM_10	MSSM_RNA_PFC_10
0_MSSM_156	MSSM_RNA_PFC_156
0_MSSM_165	MSSM_RNA_PFC_165
0_MSSM_196	MSSM_RNA_PFC_196
0_MSSM_110	MSSM_RNA_PFC_110
0_MSSM_131	MSSM_RNA_PFC_131
0_MSSM_121	MSSM_RNA_PFC_121
0_MSSM_129	MSSM_RNA_PFC_129
0_MSSM_137	MSSM_RNA_PFC_137
0_MSSM_139	MSSM_RNA_PFC_139
0_MSSM_146	MSSM_RNA_PFC_146
