MAP50106442	935_131101
CGND-HDA-00536-b38	HRA_00631
SAMN04901019	SRR3438777
CGND-HDA-02424	HRA_01269
SAMN04901017	SRR3438775
SAMN04901012	SRR3438833
SAMN04901013	SRR3438771
SAMN04901010	SRR3438828
SAMN04901011	SRR3438832
0_UMARY_1158	SRR5589096
UMB1578	UMB1578_ba41_42_22
SAMN04901029	SRR3438787
SAMN04901028	SRR3438786
SAMN04901025	SRR3438783
SAMN04901026	SRR3438784
SAMN04901022	SRR3438780
SAMN04901030	SRR3438788
SAMN04901031	SRR3438789
GTEX-13JVG	SRR1359171
AN10833	AN10833_ba41_42_22_47
GTEX-139TT	SRR1437306
SAMN04901036	SRR3438794
SAMN04901034	SRR3438792
SAMN04901035	SRR3438793
SAMN04901032	SRR3438790
0_UMARY_1134	SRR5589087
SAMN04901033	SRR3438791
0_UMARY_1133	SRR5589085
0_UMARY_1136	SRR5589092
GTEX-ZXG5	SRR1444678
1010	1010_TCX
0_UMARY-689_UMARY-689	SRR5605730
AN04166	AN04166_BA38
0_UMARY-1744_UMARY-1744	SRR5605697
SAMN04901041	SRR3438799
SAMN04901042	SRR3438800
SAMN04901040	SRR3438798
1005	1005_TCX
SAMN04901047	SRR3438745
SAMN04901048	SRR3438746
SAMN04901043	SRR3438741
SAMN04901044	SRR3438742
2015-284	2015-284
SAMN02441934	SRR1047857
2015-283	2015-283
2015-282	2015-282
SAMN02441932	SRR1047852
SAMN02441933	SRR1047842
2015-287	2015-287
2015-286	2015-286
2015-285	2015-285
SAMN02441931	SRR1047827
1019	1019_TCX
1015	1015_TCX
0_UMARY-4906_UMARY-4906	SRR5589297
SAMN02441929	SRR1047822
CGND-HDA-00189-b38	HRA_00084
GTEX-QDT8	SRR659602
1029	1029_TCX
0_UMARY-5123_UMARY-5123	SRR5605723
1036	1036_TCX
0_UMARY_1170	SRR5589097
1034	1034_TCX
SAMN04901009	SRR3438827
SAMN04901007	SRR3438825
SAMN04901008	SRR3438826
1052	1052_TCX
1047	1047_TCX
1046	1046_TCX
1045	1045_TCX
SAMN04901005	SRR3438823
SAMN04901006	SRR3438824
2015-280	2015-280
SAMN04901000	SRR3438818
2015-244	2015-244
2015-243	2015-243
2015-248	2015-248
2015-247	2015-247
2015-246	2015-246
2015-245	2015-245
2015-249	2015-249
SAMN04901096	SRR3438690
SAMN04901097	SRR3438691
SAMN04901094	SRR3438684
SAMN04901092	SRR3438682
SAMN04901093	SRR3438683
1058	1058_TCX
SAMN04901090	SRR3438680
SAMN04901091	SRR3438681
0_UMARY_4263	SRR5589247
2015-251	2015-251
MAP61344957	385_120503
2015-250	2015-250
SAMN02297890	SRR945215
SAMN02928494	SRR1521357
SAMN02928493	SRR1521356
SAMN02928495	SRR1521358
1085	1085_TCX
SAMN03288806	SRR2070628
SAMN03288807	SRR2068830
SAMN03288805	SRR2070736
SAMN02928499	SRR1521362
1078	1078_TCX
SAMN02441945	SRR1047847
SAMN02441946	SRR1047817
SAMN02441944	SRR1047862
1098	1098_TCX
SAMN02928486	SRR1521409
SAMN02928488	SRR1521411
AN01971	AN01971_BA17
1089	1089_TCX
SAMN02928472	SRR1521395
SAMN02928471	SRR1521394
SAMN02928474	SRR1521397
SAMN02928473	SRR1521396
SAMN02928475	SRR1521398
SAMN04901053	SRR3438751
SAMN04901051	SRR3438749
SAMN02928481	SRR1521404
SAMN02928480	SRR1521403
0_SH-00-34_SH-00-34	SRR5588882
SAMN04901058	SRR3438756
SAMN04901056	SRR3438754
SAMN04901055	SRR3438753
SAMN02928469	SRR1521392
CGND-HDA-01326-b38	HRA_00412
SAMN02928461	SRR1521384
SAMN02928462	SRR1521385
SAMN02928464	SRR1521387
SAMN02928467	SRR1521390
SAMN03288808	SRR2068820
SAMN04901061	SRR3438759
AN10028	AN10028_ba9_115
SAMN04901062	SRR3438760
SAMN04901060	SRR3438758
SAMN02928470	SRR1521393
0_UMARY-1403_UMARY-1403	SRR5605683
SAMN04901069	SRR3438767
SAMN04901067	SRR3438765
SAMN04901068	SRR3438766
SAMN04901065	SRR3438763
SAMN04901066	SRR3438764
SAMN02928458	SRR1521443
SAMN02928457	SRR1521445
SAMN02928459	SRR1521382
SAMN04901074	SRR3438664
SAMN04901075	SRR3438665
CGND-HDA-00194-b38	HRA_00019
SAMN04901072	SRR3438770
SAMN04901073	SRR3438663
SAMN04901070	SRR3438768
SAMN04901071	SRR3438769
SAMN04901078	SRR3438668
SAMN04901079	SRR3438669
SAMN04901076	SRR3438666
