MAP50106442	935_131101
MAP61344957	385_120503
MAP46246604	605_120523
ROS21001807	378_120503
ROS79590778	803_130701
ROS15738428	128_120419
MAP89164957	302_120430
MAP46251007	405_120503
ROS15114174	121_120418
MAP50104846	34_120416
SM-CJFPF	508_120515
SM-CJFPE	683_120604
SM-CJFNY	257_120426
SM-CJFNV	799_130701
SM-CJFO7	595_120522
SM-CJFO5	449_120507
SM-CJFO3	710_120531
SM-CJFNR	15_120410
SM-CJFNS	797_130701
SM-CJFNL	824_130725
SM-CJFNM	821_130725
SM-CJFNJ	392_120503
SM-CJFNK	616_120524
SM-CJFNF	656_120529
SM-CJFNB	53_120417
SM-CJFP6	427_120507
SM-CJFP7	939_131101
SM-CJFP4	707_120531
SM-CJFOS	938_131101
SM-CJFOQ	695_120605
SM-CJFOR	881_130918
SM-CJFOP	665_120530
SM-CJFON	715_120531
SM-CJFOI	674_120530
SM-CJFOH	666_120530
SM-CJFOF	668_120530
SM-CJFN8	618_120524
SM-CJFN9	523_120515
SM-CJFN6	102_120418
SM-CJFMV	722_120531
SM-CJFN5	599_120523
SM-CJFN3	568_120521
MAP15387421	630_120524
ROS21112011	335_120501
ROS11430815	323_120501
ROS20945666	366_120502
SM-CJEK6	590_120522
SM-CJEK7	589_120522
SM-CJEJS	569_120521
SM-CJEK5	625_120524
SM-CJEJT	924_131031
SM-CJEK3	861_130911
SM-CJEJR	213_120425
SM-CJEJO	697_120605
SM-CJEJP	279_120430
SM-CJEJM	724_120605
SM-CJEJK	497_120515
SM-CJEJJ	703_120605
SM-CJEJG	398_120503
SM-CJEJA	573_120521
SM-CJEKL	607_120523
SM-CJEKF	871_130911
SM-CJEKG	949_131107
SM-CJEKA	384_120503
SM-CJEI6	170_120423
SM-CJEHU	638_120524
SM-CJEI5	629_120524
SM-CJEI3	44_120416
SM-CJEHR	470_120514
SM-CJEHP	603_120523
SM-CJEHM	450_120507
SM-CJEHK	251_120426
SM-CJEHE	430_120507
SM-CJEHD	229_120425
SM-CJEJ5	403_120503
SM-CJEJ6	196_120424
SM-CJEIU	662_120530
SM-CJEJ4	545_120516
SM-CJEJ2	68_120417
SM-CJEIN	132_120419
SM-CJEIO	349_120501
SM-CJEIL	604_120523
SM-CJEIM	900_131010
SM-CJEIJ	129_120419
SM-CJEIH	140_120419
SM-CJEIE	631_120524
SM-CJEIB	614_120523
SM-CJEIA	594_120522
SM-CJEG8	815_130702
SM-CJEG9	796_130701
SM-CJEFX	431_120507
SM-CJEFU	296_120430
SM-CJEG4	495_120515
SM-CJEFS	536_120516
SM-CJEFQ	496_120515
SM-CJEG3	647_120529
SM-CJEG1	322_120501
SM-CJEGX	434_120507
SM-CJEH6	429_120507
SM-CJEGR	36_120416
SM-CJEH3	811_130702
SM-CJEGP	176_120424
SM-CJEH2	35_120416
SM-CJEGH	200_120424
SM-CJEGI	944_131107
SM-CJEGB	671_120530
SM-CJEGA	636_120524
MAP50301099	274_120430
ROS20998065	79_120417
ROS21274866	587_120522
SM-CTEMN	593_120522
SM-CTEMM	174_120424
SM-CTEMS	520_120515
SM-CTEN2	505_120515
SM-CTEN7	663_120530
SM-CTEMW	698_120605
SM-CTEN5	524_120515
SM-CTEMU	635_120524
SM-CTEMY	164_120423
SM-CTEND	549_120517
SM-CTENG	543_120516
SM-CTENE	550_120517
SM-CTENF	576_120521
SM-CTEM6	187_120424
SM-CTELS	180_120424
SM-CTEM5	610_120523
SM-CTEMG	452_120507
SM-CTEMJ	502_120515
SM-CTEMK	687_120604
ROS20275399	166_120423
SM-CTEIL	314_120501
SM-CTEIR	406_120503
SM-CTEIP	232_120425
SM-CTEI7	83_120417
SM-CTEI5	108_120418
SM-CTEIC	433_120507
SM-CTEGH	893_130923
SM-CTEGF	97_120417
SM-CTEGG	833_130729
SM-CTEGM	273_120430
SM-CTEGQ	484_120515
SM-CTEGO	321_120501
SM-CTEGR	473_120514
SM-CTEGS	23_120411
SM-CTEGV	561_120517
SM-CTEGW	951_131107
SM-CTEFH	353_120501
SM-CTEFE	929_131031
SM-CTEFK	88_120417
SM-CTEFL	911_131031
SM-CTEFJ	522_120515
SM-CTEFO	57_120417
SM-CTEFP	236_120425
SM-CTEFM	248_120426
SM-CTEG4	879_130918
SM-CTEG5	351_120501
SM-CTEFT	486_120515
SM-CTEFQ	260_120426
SM-CTEG8	460_120514
SM-CTEG9	562_120517
SM-CTEFX	01_120405
SM-CTEG7	38_120416
SM-CTEFZ	551_120517
SM-CTEGD	887_130923
SM-CTEEF	689_120604
SM-CTEEG	525_120515
SM-CTEEM	882_130918
SM-CTEER	690_120604
SM-CTEET	339_120501
SM-CTEEU	660_120530
SM-CTEEZ	190_120424
SM-CTEEY	847_130830
SM-CTEFD	448_120507
SM-CTEFA	702_120605
SM-CTEDC	33_120416
SM-CTEDG	675_120604
