Br1109	Br1109_R3766
Br1197	R2799
Br1163	R3986
Br1936	CMC_HBCC_RNA_PFC_3359
Br1901	R4036
Br1995	Br1995_R4075
Br1998	Br1998_R4049
Br1992	R5739
Br1984	R5614
Br1947	CMC_HBCC_RNA_PFC_3291
Br1034	Br1034_R3395
Br1414	R2858
Br1404	R3933
Br1356	Br1356_R3385
Br1304	Br1304_R3479
Br1384	CMC_HBCC_RNA_PFC_3091
Br1279	Br1279_R3447
Br1271	CMC_HBCC_RNA_PFC_3069
Br2083	R5632
Br1651	R3945
Br1562	R2959
Br1554	R4209
Br2022	R5598
Br1511	CMC_HBCC_RNA_PFC_3236
Br1458	Br1458_R3421
Br1454	CMC_HBCC_RNA_PFC_3345
Br1437	R3882
Br1430	R3934
Br1896	R4034
Br1821	R4061
Br2288	Br2288_R5749
Br2269	R5745
Br1761	Br1761_R3774
Br1760	R3620
Br1753	Br1753_R4236
Br1750	Br1750_R3771
Br1752	R3708
Br1749	R3655
Br1744	R3641
Br1735	Br1735_R2999
Br1734	CMC_HBCC_RNA_PFC_3215
Br1677	R2986
Br1661	R3976
