0_PITT_1792	PITT_RNA_PFC_1792
0_Pitt_BP_1573	PITT_RNA_BP_PFC_1573
0_Pitt_BP_1584	PITT_RNA_BP_PFC_1584
0_Pitt_BP_1589	PITT_RNA_BP_PFC_1589
0_Pitt_BP_1598	PITT_RNA_BP_PFC_1598
0_Pitt_BP_1537	PITT_RNA_BP_PFC_1537
0_Pitt_BP_1565	PITT_RNA_BP_PFC_1565
0_MSSM_95	MSSM_RNA_PFC_95
0_MSSM_96	MSSM_RNA_PFC_96
0_MSSM_97	MSSM_RNA_PFC_97
0_MSSM_98	MSSM_RNA_PFC_98
0_MSSM_91	MSSM_RNA_PFC_91
0_MSSM_92	MSSM_RNA_PFC_92
0_MSSM_89	MSSM_RNA_PFC_89
0_MSSM_84	MSSM_RNA_PFC_84
0_MSSM_87	MSSM_RNA_PFC_87
0_MSSM_80	MSSM_RNA_PFC_80
0_MSSM_81	MSSM_RNA_PFC_81
0_PITT_1734	PITT_RNA_PFC_1734
0_PITT_1712	PITT_RNA_PFC_1712
0_PITT_1691	PITT_RNA_PFC_1691
0_Pitt_BP_1695	PITT_RNA_BP_PFC_1695
0_PITT_1635	PITT_RNA_PFC_1635
0_Pitt_BP_1603	PITT_RNA_BP_PFC_1603
0_Pitt_BP_1605	PITT_RNA_BP_PFC_1605
0_Pitt_BP_1637	PITT_RNA_BP_PFC_1637
0_Pitt_BP_716	PITT_RNA_BP_PFC_716
0_PITT_1189	PITT_RNA_PFC_1189
0_PITT_1188	PITT_RNA_PFC_1188
0_PITT_581	PITT_RNA_PFC_581
0_PENN_101	PENN_RNA_PFC_101
0_PENN_100	PENN_RNA_PFC_100
0_PENN_109	PENN_RNA_PFC_109
0_PENN_108	PENN_RNA_PFC_108
0_PENN_107	PENN_RNA_PFC_107
0_PENN_106	PENN_RNA_PFC_106
0_PENN_105	PENN_RNA_PFC_105
0_PENN_104	PENN_RNA_PFC_104
0_PENN_103	PENN_RNA_PFC_103
0_Pitt_BP_789	PITT_RNA_BP_PFC_789
0_Pitt_BP_795	PITT_RNA_BP_PFC_795
0_PITT_533	PITT_RNA_PFC_533
0_PITT_566	PITT_RNA_PFC_566
0_PITT_539	PITT_RNA_PFC_539
0_PITT_551	PITT_RNA_PFC_551
0_PITT_546	PITT_RNA_PFC_546
0_Pitt_BP_1770	PITT_RNA_BP_PFC_1770
0_PITT_1173	PITT_RNA_PFC_1173
0_Pitt_BP_1783	PITT_RNA_BP_PFC_1783
0_Pitt_BP_1789	PITT_RNA_BP_PFC_1789
0_PITT_1122	PITT_RNA_PFC_1122
0_PITT_1105	PITT_RNA_PFC_1105
0_PITT_1099	PITT_RNA_PFC_1099
0_PITT_1088	PITT_RNA_PFC_1088
0_PITT_1086	PITT_RNA_BP_PFC_1086
0_Pitt_BP_1069	PITT_RNA_BP_PFC_1069
0_Pitt_BP_697	PITT_RNA_BP_PFC_697
0_Pitt_BP_1081	PITT_RNA_BP_PFC_1081
0_PITT_640	PITT_RNA_PFC_640
0_PITT_634	PITT_RNA_PFC_634
0_Pitt_BP_1020	PITT_RNA_BP_PFC_1020
0_Pitt_BP_1031	PITT_RNA_BP_PFC_1031
0_PITT_622	PITT_RNA_PFC_622
0_Pitt_BP_1044	PITT_RNA_BP_PFC_1044
0_Pitt_BP_1048	PITT_RNA_BP_PFC_1048
0_PITT_630	PITT_RNA_PFC_630
0_PITT_681	PITT_RNA_PFC_681
0_PITT_685	PITT_RNA_PFC_685
0_PITT_686	PITT_RNA_PFC_686
0_PITT_694	PITT_RNA_PFC_694
0_MSSM_BP_20	MSSM_RNA_BP_PFC_20
0_MSSM_BP_19	MSSM_RNA_BP_PFC_19
0_MSSM_BP_18	MSSM_RNA_BP_PFC_18
0_PITT_1047	PITT_RNA_PFC_1047
0_MSSM_BP_11	MSSM_RNA_BP_PFC_11
0_MSSM_BP_10	MSSM_RNA_BP_PFC_10
0_MSSM_BP_13	MSSM_RNA_BP_PFC_13
0_MSSM_BP_12	MSSM_RNA_BP_PFC_12
