SAMN04901019	SRR3438777
SAMN04901017	SRR3438775
SAMN04901012	SRR3438833
SAMN04901013	SRR3438771
SAMN04901010	SRR3438828
SAMN04901011	SRR3438832
SAMN04901029	SRR3438787
SAMN04901028	SRR3438786
SAMN04901025	SRR3438783
SAMN04901026	SRR3438784
SAMN04901022	SRR3438780
SAMN04901030	SRR3438788
SAMN04901031	SRR3438789
SAMN04901036	SRR3438794
SAMN04901034	SRR3438792
SAMN04901035	SRR3438793
SAMN04901032	SRR3438790
SAMN04901033	SRR3438791
SAMN04901041	SRR3438799
SAMN04901042	SRR3438800
SAMN04901040	SRR3438798
SAMN04901047	SRR3438745
SAMN04901048	SRR3438746
SAMN04901043	SRR3438741
SAMN04901044	SRR3438742
SAMN02441934	SRR1047857
SAMN02441932	SRR1047852
SAMN02441933	SRR1047842
SAMN02441931	SRR1047827
SAMN02441929	SRR1047822
SAMN04901009	SRR3438827
SAMN04901007	SRR3438825
SAMN04901008	SRR3438826
SAMN04901005	SRR3438823
SAMN04901006	SRR3438824
SAMN04901000	SRR3438818
SAMN04901096	SRR3438690
SAMN04901097	SRR3438691
SAMN04901094	SRR3438684
SAMN04901092	SRR3438682
SAMN04901093	SRR3438683
SAMN04901090	SRR3438680
SAMN04901091	SRR3438681
SAMN02297890	SRR945215
SAMN02928494	SRR1521357
SAMN02928493	SRR1521356
SAMN02928495	SRR1521358
SAMN03288806	SRR2070628
SAMN03288807	SRR2068830
SAMN03288805	SRR2070736
SAMN02928499	SRR1521362
SAMN02441945	SRR1047847
SAMN02441946	SRR1047817
SAMN02441944	SRR1047862
SAMN02928486	SRR1521409
SAMN02928488	SRR1521411
SAMN02928472	SRR1521395
SAMN02928471	SRR1521394
SAMN02928474	SRR1521397
SAMN02928473	SRR1521396
SAMN02928475	SRR1521398
SAMN04901053	SRR3438751
SAMN04901051	SRR3438749
SAMN02928481	SRR1521404
SAMN02928480	SRR1521403
SAMN04901058	SRR3438756
SAMN04901056	SRR3438754
SAMN04901055	SRR3438753
SAMN02928469	SRR1521392
SAMN02928461	SRR1521384
SAMN02928462	SRR1521385
SAMN02928464	SRR1521387
SAMN02928467	SRR1521390
SAMN03288808	SRR2068820
SAMN04901061	SRR3438759
SAMN04901062	SRR3438760
SAMN04901060	SRR3438758
SAMN02928470	SRR1521393
SAMN04901069	SRR3438767
SAMN04901067	SRR3438765
SAMN04901068	SRR3438766
SAMN04901065	SRR3438763
SAMN04901066	SRR3438764
SAMN02928458	SRR1521443
SAMN02928457	SRR1521445
SAMN02928459	SRR1521382
SAMN04901074	SRR3438664
SAMN04901075	SRR3438665
SAMN04901072	SRR3438770
SAMN04901073	SRR3438663
SAMN04901070	SRR3438768
SAMN04901071	SRR3438769
SAMN04901078	SRR3438668
SAMN04901079	SRR3438669
SAMN04901076	SRR3438666
SAMN04901077	SRR3438667
SAMN04901085	SRR3438675
SAMN04901086	SRR3438676
SAMN04901083	SRR3438673
SAMN04901081	SRR3438671
SAMN04901080	SRR3438670
SAMN04901089	SRR3438679
SAMN04901087	SRR3438677
SAMN04901088	SRR3438678
SAMEA1322589	ERR103429
SAMEA1322586	ERR103438
SAMEA1322584	ERR103427
SAMEA1322590	ERR103435
SAMEA1322599	ERR103426
SAMEA1322596	ERR103423
SAMEA1322594	ERR103428
SAMEA1322592	ERR103431
SAMEA1322591	ERR103436
SAMN03651549	SRR2015735
SAMN03651541	SRR2015727
SAMN03651543	SRR2015729
SAMN03651550	SRR2015736
SAMN03651551	SRR2015737
SAMN03651553	SRR2015739
SAMN02265385	SRR943357
SAMN02265386	SRR943358
SAMN04901137	SRR3438559
SAMN04901138	SRR3438560
SAMN02999518	SRR2071346
SAMN04901135	SRR3438557
SAMN04901136	SRR3438558
SAMN04901133	SRR3438555
SAMN04901134	SRR3438556
SAMN04901131	SRR3438661
SAMN02999522	SRR2071350
SAMN02999523	SRR2071351
SAMN04901148	SRR3438578
SAMN04901149	SRR3438580
SAMN04901146	SRR3438574
SAMN04901147	SRR3438576
SAMN04901145	SRR3438572
SAMN00632232	SRR306838
SAMN04901151	SRR3438584
SAMN04901152	SRR3438586
SAMN04901150	SRR3438582
SAMN04901159	SRR3438600
SAMN04901157	SRR3438596
SAMN04901158	SRR3438598
SAMN04901155	SRR3438592
SAMN04901156	SRR3438594
SAMN04901153	SRR3438588
SAMN04901154	SRR3438590
SAMN04901162	SRR3438834
SAMN04901163	SRR3438829
SAMN04901160	SRR3438608
SAMN04901161	SRR3438610
SAMN04901168	SRR3438837
SAMN04901169	SRR3438838
SAMN04901166	SRR3438835
SAMN04901167	SRR3438836
SAMN04901164	SRR3438830
SAMN04901165	SRR3438831
SAMN00668209	SRR309142
SAMN00668208	SRR309140
SAMN00668207	SRR309138
SAMN04901108	SRR3438616
SAMN04901109	SRR3438618
SAMN04901106	SRR3438612
SAMN04901107	SRR3438614
SAMN04901104	SRR3438604
SAMN04901105	SRR3438606
SAMN02999533	SRR2071361
SAMN02999532	SRR2071360
SAMN02999535	SRR2071363
SAMN02999534	SRR2071362
SAMN04901119	SRR3438638
SAMN04901117	SRR3438634
SAMN02999531	SRR1554548
SAMN04901118	SRR3438636
SAMN02999530	SRR2071358
SAMN04901115	SRR3438630
SAMN04901116	SRR3438632
SAMN04901113	SRR3438626
SAMN04901114	SRR3438628
SAMN04901111	SRR3438622
SAMN02999537	SRR1554554
SAMN04901112	SRR3438624
SAMN02999536	SRR2071364
SAMN02999539	SRR2071367
SAMN02999538	SRR1554555
SAMN02999544	SRR2071372
SAMN02999543	SRR1554560
SAMN02999546	SRR2071374
SAMN02999545	SRR2071373
SAMN02999540	SRR1554557
SAMN02999541	SRR2071369
SAMN04901129	SRR3438658
SAMN04901126	SRR3438652
SAMN02999548	SRR2071376
SAMN02999547	SRR2071375
SAMN00668210	SRR309144
SAMN03651525	SRR2015784
SAMN03651526	SRR2015785
SAMN03651528	SRR2015714
SAMN03651529	SRR2015715
SAMN03651520	SRR2015779
SAMN03651521	SRR2015780
SAMN03651522	SRR2015781
SAMN03651523	SRR2015782
SAMN03651524	SRR2015783
SAMN03651536	SRR2015722
SAMN03651539	SRR2015725
SAMN03651503	SRR2015762
SAMN03651504	SRR2015763
SAMN03651505	SRR2015764
SAMN04209751	SRR2816104
SAMN03651507	SRR2015774
SAMN03651508	SRR2015765
SAMN03651509	SRR2015766
SAMN04209754	SRR2816107
SAMN04209755	SRR2816108
SAMN03651500	SRR2015759
SAMN03651501	SRR2015760
SAMN03651502	SRR2015761
SAMN02388201	SRR1035125
SAMN04209756	SRR2816109
SAMN04209758	SRR2816111
SAMN04209759	SRR2816112
SAMN03651514	SRR2015771
SAMN03651516	SRR2015775
SAMN03651518	SRR2015777
SAMN04209742	SRR2816095
SAMN03651519	SRR2015778
SAMN04209743	SRR2816096
SAMN04209744	SRR2816097
SAMN03651511	SRR2015768
SAMN03651512	SRR2015769
SAMN03651513	SRR2015770
SAMN04209745	SRR2816098
SAMN04209746	SRR2816099
SAMN04901174	SRR3438843
SAMN04901170	SRR3438839
SAMN04901179	SRR3438848
SAMN04901177	SRR3438846
SAMN04901175	SRR3438844
SAMN04901185	SRR3438854
SAMN04901181	SRR3438850
SAMN04901188	SRR3438857
SAMN04901189	SRR3438858
SAMN04901186	SRR3438855
SAMN04209714	SRR2815998
SAMN04209709	SRR2815993
SAMN04209705	SRR2815989
SAMN04209706	SRR2815990
SAMN04209707	SRR2815991
SAMN04209708	SRR2815992
SAMN03651484	SRR2015744
SAMN03651485	SRR2015745
SAMN03651487	SRR2015747
SAMN03651489	SRR2015749
SAMN06484434	SRR5319471
SAMN03651496	SRR2015755
SAMN03651498	SRR2015757
SAMN03651499	SRR2015758
SAMN03651490	SRR2015750
SAMN03651493	SRR2015752
SAMN06484423	SRR5319482
SAMN04209762	SRR2816115
SAMN04209764	SRR2816117
SAMN02213475	SRR921945
SAMN02213470	SRR921939
SAMN02213477	SRR921943
SAMN02213461	SRR921949
SAMN02213469	SRR921937
SAMN04901203	SRR3438720
SAMN04901204	SRR3438721
SAMN04901201	SRR3438718
SAMN04901202	SRR3438719
SAMN04901200	SRR3438717
SAMN02213457	SRR921941
SAMN02213455	SRR921935
SAMN05163573	SRR3627972
SAMN05163572	SRR3627971
SAMN05163571	SRR3628388
SAMN05163570	SRR3628383
SAMN06445889	SRR5283067
SAMN04901218	SRR3438737
SAMN04901212	SRR3438729
SAMN04901213	SRR3438730
SAMN04901210	SRR3438727
SAMN04901211	SRR3438728
SAMN02388199	SRR1033612
SAMN06830458	SRR5850225
SAMN06830468	SRR5850229
SAMN03015190	SRR1562544
SAMN03015193	SRR1562547
SAMN03015192	SRR1562546
SAMN03015194	SRR1562548
SAMEA3931520	ERR1363336
SAMEA3931529	ERR1363345
SAMEA3931560	ERR1363376
SAMN05364494	SRR3749336
SAMN02721534	SRR1222686
SAMEA3931551	ERR1363367
SAMEA3931544	ERR1363360
SAMEA3931536	ERR1363352
SAMN04565572	SRR3233973
SAMN04565587	SRR3233988
SAMN01797226	SRR611070
SAMN02928546	SRR1521441
SAMN02928545	SRR1521440
SAMN02928548	SRR1521444
SAMN02928547	SRR1521442
SAMN02928540	SRR1521435
SAMN02928542	SRR1521437
SAMN02928541	SRR1521436
SAMN02928544	SRR1521439
SAMN02928543	SRR1521438
SAMN04940994	SRR3477464
SAMN04940993	SRR3477463
SAMN02928535	SRR1521428
SAMN02928537	SRR1521430
SAMN02928536	SRR1521429
SAMN02928532	SRR1521425
SAMN02928524	SRR1521417
SAMN02928520	SRR1521413
SAMN02928521	SRR1521414
SAMN02928513	SRR1521376
SAMN02928512	SRR1521375
SAMN02928514	SRR1521377
SAMN02928516	SRR1521379
SAMN02928519	SRR1521412
SAMN02928511	SRR1521374
SAMN02928510	SRR1521373
SAMN02928502	SRR1521365
SAMN02928501	SRR1521364
SAMN02928504	SRR1521367
SAMN02928503	SRR1521366
SAMN02928506	SRR1521369
SAMN02928505	SRR1521368
SAMN02928508	SRR1521371
SAMN02928500	SRR1521363
SAMN02928509	SRR1521372
SAMN04900968	SRR3438876
SAMN04900978	SRR3438890
SAMN04900976	SRR3438887
SAMN04900977	SRR3438889
SAMN04900974	SRR3438885
SAMN04900972	SRR3438881
SAMN04900973	SRR3438883
SAMN04900970	SRR3438878
SAMN04900971	SRR3438879
SAMN04900989	SRR3438807
SAMN04900987	SRR3438805
SAMN04900983	SRR3438801
SAMN04900982	SRR3438892
SAMN04900998	SRR3438816
SAMN04900999	SRR3438817
SAMN04900996	SRR3438814
SAMN04900997	SRR3438815
SAMN04900994	SRR3438812
SAMN04900995	SRR3438813
SAMN04900993	SRR3438811
SAMN04900990	SRR3438808
SAMN04900942	SRR3438894
SAMN04900959	SRR3438867
SAMN04900954	SRR3438862
SAMN04900952	SRR3438906
SAMN04900953	SRR3438861
SAMN02709068	SRR1206045
SAMEA1322601	ERR103421
SAMEA1322600	ERR103424
SAMN02251249	SRR934879
SAMN02251247	SRR934860
SAMN02251246	SRR934733
SAMN02251245	SRR934861
SAMN02251244	SRR934874
SAMN02251243	SRR934883
SAMN02866098	SRR1424703
SAMN02251259	SRR934862
SAMN02251258	SRR934730
SAMN02251257	SRR934741
SAMN02866094	SRR1424705
SAMN02866095	SRR1424697
SAMN02251255	SRR934885
SAMN02866097	SRR1424706
SAMN02251253	SRR934740
SAMN02866090	SRR1424688
SAMN02866092	SRR1424694
SAMN02866093	SRR1424702
SAMN02866087	SRR1424685
SAMN02866088	SRR1424691
SAMN02866089	SRR1424696
SAMN02251269	SRR934768
SAMN02866083	SRR1424680
SAMN02251268	SRR934732
SAMN02866084	SRR1424690
SAMN02251267	SRR934718
SAMN02866085	SRR1424679
SAMN02251266	SRR934734
SAMN02866086	SRR1424693
SAMN02251264	SRR934771
SAMN02866080	SRR1424682
SAMN02251263	SRR934735
SAMN02866081	SRR1424686
SAMN02866082	SRR1424687
SAMN02251261	SRR934727
SAMN02866076	SRR1424676
SAMN02866077	SRR1424675
SAMN02866078	SRR1424678
SAMN02866079	SRR1424683
SAMN02866072	SRR1424677
SAMN02866073	SRR1424671
SAMN02251278	SRR934756
SAMN02866074	SRR1424681
SAMN02251277	SRR934759
SAMN02866075	SRR1424684
SAMN02251275	SRR934723
SAMN02866070	SRR1424673
SAMN02866071	SRR1424674
SAMN02251271	SRR934731
SAMN02251288	SRR934810
SAMN02251287	SRR934827
SAMN02251285	SRR934831
SAMN02251284	SRR934769
SAMN02251281	SRR934722
SAMN02251299	SRR934901
SAMN02251297	SRR934920
SAMN02251295	SRR934760
SAMN02251294	SRR934804
SAMN02251293	SRR934818
SAMN02251292	SRR934821
SAMN02251290	SRR934824
SAMN02866069	SRR1424668
SAMN02251208	SRR934749
SAMN02251207	SRR934823
SAMN02866065	SRR1424659
SAMN02251206	SRR934826
SAMN02866066	SRR1424656
SAMN02251205	SRR934829
SAMN02866067	SRR1424662
SAMN02866068	SRR1424665
SAMN05891419	SRR4407802
SAMN02251203	SRR934748
SAMN02866061	SRR1424666
SAMN02866062	SRR1424667
SAMN02251201	SRR934750
SAMN02866063	SRR1424670
SAMN02866064	SRR1424672
SAMN02866060	SRR1424661
SAMN05891421	SRR4407804
SAMN05891420	SRR4407803
SAMN05891429	SRR4407813
SAMN05891426	SRR4407809
SAMN05891424	SRR4407807
SAMN02866058	SRR1424669
SAMN02866059	SRR1424664
SAMN02866054	SRR1424657
SAMN02251217	SRR934751
SAMN02866055	SRR1424660
SAMN02251215	SRR934742
SAMN02866056	SRR1424663
SAMN02251214	SRR934745
SAMN02866057	SRR1424658
SAMN02251213	SRR934755
SAMN02251212	SRR934858
SAMN02251211	SRR934758
SAMN05891439	SRR4407824
SAMN05891437	SRR4407822
SAMN02251228	SRR934867
SAMN02251227	SRR934869
SAMN02251226	SRR934719
SAMN02251225	SRR934720
SAMN02251224	SRR934767
SAMN02251223	SRR934717
SAMN02251222	SRR934770
SAMN05891407	SRR4407798
SAMN02251239	SRR934881
SAMN02251238	SRR934863
SAMN02251234	SRR934875
SAMN02251231	SRR934873
SAMN02251230	SRR934877
SAMN05891418	SRR4407801
SAMN05891415	SRR4407847
SAMN05891413	SRR4407845
SAMN05891412	SRR4407843
SAMN05891411	SRR4407832
SAMN05891443	SRR4407828
SAMN05891440	SRR4407825
SAMN05891449	SRR4407835
SAMN05891448	SRR4407834
SAMN05891447	SRR4407833
SAMN05891446	SRR4407831
SAMN05891445	SRR4407830
SAMN06621760	SRR5361432
SAMN05891453	SRR4407839
SAMN06621762	SRR5361430
SAMN05891451	SRR4407837
SAMN06621761	SRR5361431
SAMN05891450	SRR4407836
SAMN06621764	SRR5361428
SAMN05891457	SRR4407844
SAMN05891456	SRR4407842
SAMN05891455	SRR4407841
SAMN02866102	SRR1424695
SAMN02866104	SRR1424704
SAMN02866105	SRR1424707
SAMN02866100	SRR1424692
SAMN06621719	SRR5361473
SAMN06621751	SRR5361441
SAMN06621753	SRR5361439
SAMN06621752	SRR5361440
SAMN06621755	SRR5361437
SAMN06621757	SRR5361435
SAMN06621756	SRR5361436
SAMN06621759	SRR5361433
SAMN06621758	SRR5361434
SAMN06621740	SRR5361452
SAMN06621742	SRR5361450
SAMN06621741	SRR5361451
SAMN06621744	SRR5361448
SAMN06621743	SRR5361449
SAMN06621746	SRR5361446
SAMN06621748	SRR5361444
SAMN06621749	SRR5361443
SAMN06621730	SRR5361462
SAMN06621733	SRR5361459
SAMN06621732	SRR5361460
SAMN06621735	SRR5361457
SAMN06621734	SRR5361458
SAMN06621737	SRR5361455
SAMN06621736	SRR5361456
SAMN06621739	SRR5361453
SAMN06621738	SRR5361454
SAMN06621722	SRR5361470
SAMN06621721	SRR5361471
SAMN06621724	SRR5361468
SAMN06621723	SRR5361469
SAMN06621726	SRR5361466
SAMN06621725	SRR5361467
SAMN02251368	SRR934961
SAMN02251367	SRR934967
SAMN02251366	SRR934964
SAMN02251365	SRR934956
SAMN02251362	SRR934976
SAMN02251361	SRR934979
SAMN04455047	SRR3141978
SAMN04455048	SRR3141979
SAMN04455045	SRR3141976
SAMN04455043	SRR3141974
SAMN04455044	SRR3141975
SAMN04455041	SRR3141972
SAMN04455042	SRR3141973
SAMN04455058	SRR3141988
SAMN04455059	SRR3141989
SAMN04455056	SRR3141986
SAMN04455057	SRR3141987
SAMN04455052	SRR3141983
SAMN04455053	SRR3141984
SAMN04455050	SRR3141981
SAMN04455051	SRR3141982
SAMN04455038	SRR3141969
SAMN02369588	SRR1004318
SAMN02369574	SRR1004299
