Br1139	CMC_HBCC_RNA_PFC_3008
Br1113	Br1113_R3970
Br2416	Br2416_R5817
Br2415	Br2415_R5815
Br2410	Br2410_R5807
Br2409	Br2409_R5805
Br2402	Br2402_R5795
Br1189	Br1189_R4012
Br1183	Br1183_R3397
Br1909	Br1909_R4038
Br1987	Br1987_R4048
Br1980	Br1980_R4047
Br1960	Br1960_R4044
Br1958	Br1958_R5611
Br1946	Br1946_R5608
Br1092	Br1092_R3765
Br2394	Br2394_R5779
Br2396	Br2396_R5783
Br1416	Br1416_R3616
Br1350	CMC_HBCC_RNA_PFC_3106
Br1389	Br1389_R3374
Br1245	Br1245_R2809
Br1225	Br1225_R3491
Br1214	Br1214_R3445
Br1204	Br1204_R3477
Br2097	Br2097_R4321
Br2099	Br2099_R4343
Br2094	Br2094_R4337
Br2090	Br2090_R4319
Br2084	CMC_HBCC_RNA_PFC_3903
Br2080	Br2080_R5625
Br1602	Br1602_R3975
Br1591	CMC_HBCC_RNA_PFC_3033
Br1594	Br1594_R3942
Br1580	Br1580_R3058
Br2063	Br2063_R5628
Br2044	CMC_HBCC_RNA_PFC_3918
Br2036	Br2036_R4053
Br2015	Br2015_R5596
Br2009	Br2009_R5740
Br2005	Br2005_R4076
Br1532	Br1532_R2958
Br1526	Br1526_R4244
Br1507	Br1507_R2860
Br1497	Br1497_R3607
Br1499	Br1499_R4115
Br1498	Br1498_R3423
Br1487	Br1487_R3705
Br1432	Br1432_R3518
Br1890	Br1890_R3791
Br888	Br888_R3418
Br1879	Br1879_R3500
Br1873	Br1873_R3716
Br869	Br869_R4201
Br827	Br827_R3901
Br2227	Br2227_R4363
Br2228	Br2228_R4364
Br2225	Br2225_R4361
Br2224	Br2224_R4360
Br2221	Br2221_R4357
Br2219	Br2219_R4351
Br2216	Br2216_R4348
Br2215	Br2215_R4356
Br2217	Br2217_R4424
Br2214	Br2214_R4355
Br2213	Br2213_R4347
Br2204	Br2204_R4291
Br2207	Br2207_R4292
Br2206	Br2206_R4281
Br2201	Br2201_R4278
Br2200	Br2200_R4289
Br2202	Br2202_R4279
Br1797	Br1797_R3476
Br2292	Br2292_R5689
Br2285	CMC_HBCC_RNA_PFC_3441
Br2271	CMC_HBCC_RNA_PFC_2981
Br2257	Br2257_R5741
Br2242	Br2242_R5626
Br2236	Br2236_R4366
Br2230	Br2230_R4354
Br2231	Br2231_R4426
Br2192	Br2192_R4273
Br2194	Br2194_R5905
Br1764	Br1764_R2855
Br1756	Br1756_R3990
Br983	Br983_R3623
Br942	Br942_R3441
Br2107	Br2107_R4342
Br2104	Br2104_R4344
Br2103	Br2103_R4324
Br922	Br922_R3921
Br1676	CMC_HBCC_RNA_PFC_2972
Br1678	Br1678_R2901
Br2186	Br2186_R4373
Br2187	Br2187_R4271
Br2183	Br2183_R4387
Br2178	Br2178_R4384
Br2170	Br2170_R4381
Br2173	Br2173_R4370
Br2166	Br2166_R4398
Br2156	Br2156_R4420
Br2158	Br2158_R4421
Br2154	Br2154_R4410
Br2149	Br2149_R4394
Br2146	Br2146_R4393
Br2148	Br2148_R4407
Br2130	Br2130_R4303
