0_UMARY_1158	SRR5589096
0_UMARY_1134	SRR5589087
0_UMARY_1133	SRR5589085
0_UMARY_1136	SRR5589092
0_UMARY_1170	SRR5589097
0_UMARY_4263	SRR5589247
0_UMARY_1935	SRR5589234
0_UMARY_1104	SRR5589078
0_UMARY_1114	SRR5589084
0_UMARY_1028	SRR5589066
0_JHU_384	SRR5605666
0_UMARY_1076	SRR5589069
0_UMARY_1079	SRR5589074
0_UMARY_1078	SRR5589070
0_UMARY_1064	SRR5589067
0_UMARY_1903	SRR5589225
0_UMARY_1902	SRR5589224
0_UMARY_1907	SRR5589228
0_UMARY_1909	SRR5589230
0_UMARY_1917	SRR5589233
0_UMARY_1825	SRR5589201
0_UMARY_1827	SRR5589202
0_UMARY_1862	SRR5589220
0_UMARY_1866	SRR5589223
0_UMARY_1865	SRR5589221
0_UMARY_4903	SRR5589294
0_UMARY_1847	SRR5589210
0_UMARY_1849	SRR5589212
0_UMARY_4915	SRR5589298
0_UMARY_4916	SRR5589300
0_UMARY_4924	SRR5589302
0_UMARY_1326	SRR5589115
0_BLSA_2066	SRR5605665
0_UMARY_1226	SRR5589103
0_UMARY_1206	SRR5589098
0_UMARY_819	SRR5589358
0_UMARY_4636	SRR5589260
0_UMARY_4640	SRR5589262
0_UMARY_871	SRR5589359
0_UMARY_813	SRR5589355
0_UMARY_5079	SRR5589310
0_UMARY_5078	SRR5589309
0_UMARY_5086	SRR5589311
0_UMARY_5087	SRR5589315
0_UMARY_1545	SRR5589162
0_UMARY_1544	SRR5589159
0_UMARY_1535	SRR5589151
0_UMARY_1541	SRR5589156
0_UMARY_1568	SRR5589163
0_UMARY_1570	SRR5589166
0_UMARY_1571	SRR5589168
0_UMARY_1584	SRR5589171
0_UMARY_4540	SRR5605709
0_UMARY_4549	SRR5589255
0_UMARY_1496	SRR5589148
0_UMARY_1498	SRR5589150
0_UMARY_4593	SRR5589258
0_UMARY_4598	SRR5605712
0_UMARY_914	SRR5589362
0_UMARY_933	SRR5589364
0_UMARY_5024	SRR5589303
0_UMARY_1465	SRR5589142
0_UMARY_1486	SRR5589146
0_UMARY_1454	SRR5589134
0_UMARY_602	SRR5589339
0_UMARY_604	SRR5589340
0_UMARY_1710	SRR5589187
0_UMARY_1713	SRR5589188
0_UMARY_1792	SRR5589192
0_UMARY_1795	SRR5589194
0_UMARY_1797	SRR5589196
0_UMARY_4842	SRR5589290
0_UMARY_4786	SRR5589287
0_UMARY_4789	SRR5589289
0_UMARY_1612	SRR5589175
0_UMARY_1668	SRR5589182
0_UMARY_1648	SRR5589176
0_UMARY_1652	SRR5589179
0_UMARY_4726	SRR5589274
0_UMARY_4725	SRR5589272
0_UMARY_4729	SRR5589278
