0_UMARY-689_UMARY-689	SRR5605730
0_UMARY-1744_UMARY-1744	SRR5605697
0_UMARY-4906_UMARY-4906	SRR5589297
0_UMARY-5123_UMARY-5123	SRR5605723
0_SH-00-34_SH-00-34	SRR5588882
0_UMARY-1403_UMARY-1403	SRR5605683
0_UMARY-1135_UMARY-1135	SRR5589089
0_UMARY-630_UMARY-630	SRR5605727
0_UMARY-1672_UMARY-1672	SRR5589184
0_UMARY-1823_UMARY-1823	SRR5589199
0_UMARY-4724_UMARY-4724	SRR5589271
0_SH-03-17_SH-03-17	SRR5588892
0_MIAMI-2852_MIAMI-2852	SRR5605668
0_UMARY-5117_UMARY-5117	SRR5589322
0_SH-04-21_SH-04-21	SRR5588900
0_UMARY-5171_UMARY-5171	SRR5589331
0_UMARY-1410_UMARY-1410	SRR5589129
0_UMARY-5077_UMARY-5077	SRR5589308
0_UMARY-4228_UMARY-4228	SRR5589246
0_UMARY-1323_UMARY-1323	SRR5605679
0_SH-97-19_SH-97-19	SRR5588961
0_UMARY-1675_UMARY-1675	SRR5589186
0_SH-95-02_SH-95-02	SRR5588941
0_SH-96-44_SH-96-44	SRR5588955
0_SH-98-32_SH-98-32	SRR5588970
0_UMARY-1442_UMARY-1442	SRR5589133
0_UMARY-5119_UMARY-5119	SRR5589325
0_UMARY-1429_UMARY-1429	SRR5589130
0_UMARY-165_UMARY-165	SRR5605693
0_UMARY-1101_UMARY-1101	SRR5589077
0_SH-07-04_SH-07-04	SRR5588913
0_SH-98-23_SH-98-23	SRR5588968
0_SH-96-35_SH-96-35	SRR5588952
0_UMARY-4638_UMARY-4638	SRR5589261
0_UMARY-305_UMARY-305	SRR5605708
0_SH-05-16_SH-05-16	SRR5588902
0_SH-05-36_SH-05-36	SRR5588903
0_UMARY-1794_UMARY-1794	SRR5589193
0_UMARY-1441_UMARY-1441	SRR5605687
0_SH-06-66_SH-06-66	SRR5588911
0_SH-01-37_SH-01-37	SRR5588888
0_SH-95-34_SH-95-34	SRR5588947
0_UMARY-5089_UMARY-5089	SRR5605718
0_SH-01-31_SH-01-31	SRR5588887
0_SH-04-19_SH-04-19	SRR5588897
0_UMARY-4591_UMARY-4591	SRR5605711
0_UMARY-818_UMARY-818	SRR5589357
0_UMARY-1406_UMARY-1406	SRR5589126
0_SH-97-46_SH-97-46	SRR5588964
0_SH-99-44_SH-99-44	SRR5588979
0_UMARY-4781_UMARY-4781	SRR5589285
0_UMARY-1539_UMARY-1539	SRR5605692
0_UMARY-634_UMARY-634	SRR5605728
0_SH-98-27_SH-98-27	SRR5588969
0_SH-97-14_SH-97-14	SRR5588958
0_UMARY-1789_UMARY-1789	SRR5589191
0_SH-97-37_SH-97-37	SRR5588963
0_SH-06-25_SH-06-25	SRR5588909
0_UMARY-251_UMARY-251	SRR5589236
0_UMARY-1573_UMARY-1573	SRR5589169
0_UMARY-72_UMARY-72	SRR5589351
0_SH-95-21_SH-95-21	SRR5588945
0_SH-02-08_SH-02-08	SRR5588890
0_SH-96-39_SH-96-39	SRR5588954
0_UMARY-671_UMARY-671	SRR5589348
0_UMARY-1461_UMARY-1461	SRR5589140
0_SH-07-63_SH-07-63	SRR5588921
0_SH-08-04_SH-08-04	SRR5588925
0_UMARY-1279_UMARY-1279	SRR5589109
0_SH-07-28_SH-07-28	SRR5588916
0_UMARY-1543_UMARY-1543	SRR5589157
0_SH-96-08_SH-96-08	SRR5588948
0_SH-04-05_SH-04-05	SRR5588893
0_UMARY-55_UMARY-55	SRR5589337
0_UMARY-4728_UMARY-4728	SRR5589277
0_UMARY-650_UMARY-650	SRR5589346
0_SH-08-44_SH-08-44	SRR5588927
0_UMARY-288_UMARY-288	SRR5589243
0_UMARY-1861_UMARY-1861	SRR5605703
0_UMARY-1274_UMARY-1274	SRR5605676
0_UMARY-1362_UMARY-1362	SRR5605680
0_UMARY-1831_UMARY-1831	SRR5589203
0_UMARY-1743_UMARY-1743	SRR5589189
0_SH-03-15_SH-03-15	SRR5588891
0_SH-98-19_SH-98-19	SRR5588967
0_SH-07-37_SH-07-37	SRR5588918
0_SH-05-10_SH-05-10	SRR5588901
0_SH-97-53_SH-97-53	SRR5588965
0_SH-07-46_SH-07-46	SRR5588919
0_SH-00-49_SH-00-49	SRR5588886
0_UMARY-1379_UMARY-1379	SRR5605682
0_UMARY-4848_UMARY-4848	SRR5589292
0_UMARY-1464_UMARY-1464	SRR5589141
0_UMARY-1569_UMARY-1569	SRR5589164
0_SH-96-30_SH-96-30	SRR5588950
0_SH-06-05_SH-06-05	SRR5588905
0_UMARY-1378_UMARY-1378	SRR5605681
0_SH-95-26_SH-95-26	SRR5588946
0_UMARY-1841_UMARY-1841	SRR5605700
0_SH-07-73_SH-07-73	SRR5588922
0_UMARY-1266_UMARY-1266	SRR5589105
0_SH-96-32_SH-96-32	SRR5588951
0_UMARY-544_UMARY-544	SRR5605726
0_UMARY-1347_UMARY-1347	SRR5589117
0_UMARY-4592_UMARY-4592	SRR5589257
0_UMARY-1259_UMARY-1259	SRR5589104
0_UMARY-1277_UMARY-1277	SRR5605677
0_UMARY-4669_UMARY-4669	SRR5589267
0_SH-96-38_SH-96-38	SRR5588953
0_UMARY-260_UMARY-260	SRR5605705
0_UMARY-1859_UMARY-1859	SRR5605702
0_UMARY-1609_UMARY-1609	SRR5589173
0_SH-97-09_SH-97-09	SRR5588957
0_SH-92-32_SH-92-32	SRR5588936
0_UMARY-5120_UMARY-5120	SRR5605722
0_UMARY-1845_UMARY-1845	SRR5605701
0_UMARY-5114_UMARY-5114	SRR5605720
0_SH-92-05_SH-92-05	SRR5588930
0_UMARY-5088_UMARY-5088	SRR5605717
0_SH-99-54_SH-99-54	SRR5588981
0_UMARY-143_UMARY-143	SRR5589131
0_SH-92-14_SH-92-14	SRR5588935
0_UMARY-5179_UMARY-5179	SRR5605725
0_UMARY-455_UMARY-455	SRR5589256
0_UMARY-1322_UMARY-1322	SRR5589111
0_SH-08-23_SH-08-23	SRR5588926
0_SH-99-29_SH-99-29	SRR5588973
0_UMARY-1475_UMARY-1475	SRR5605691
0_UMARY-1796_UMARY-1796	SRR5589195
0_UMARY-257_UMARY-257	SRR5605704
0_UMARY-177_UMARY-177	SRR5589190
0_UMARY-4735_UMARY-4735	SRR5589283
0_UMARY-164_UMARY-164	SRR5589177
0_UMARY-4546_UMARY-4546	SRR5605710
0_SH-99-31_SH-99-31	SRR5588976
0_UMARY-1363_UMARY-1363	SRR5589120
0_UMARY-240_UMARY-240	SRR5589235
0_SH-04-08_SH-04-08	SRR5588896
0_UMARY-1843_UMARY-1843	SRR5589206
0_UMARY-1818_UMARY-1818	SRR5589197
0_SH-99-14_SH-99-14	SRR5588972
0_UMARY-5116_UMARY-5116	SRR5589320
0_UMARY-1607_UMARY-1607	SRR5589172
0_SH-96-22_SH-96-22	SRR5588949
0_UMARY-26_UMARY-26	SRR5589240
0_SH-07-11_SH-07-11	SRR5588914
