UMB1578	UMB1578_ba41_42_22
AN10833	AN10833_ba41_42_22_47
AN04166	AN04166_BA38
AN01971	AN01971_BA17
AN10028	AN10028_ba9_115
UMB5079	UMB5079_ba9
AN03632	AN03632_BA7
UMB4590	UMB4590_ba41_42_22
AN16115	AN16115_BA17
AN01093	AN01093_BA7
AN17425	AN17425_ba9_31
AN09730	AN09730_BA7
AN10723	AN10723_ba41_42_22
AN07176	AN07176_BA7
AN00544	AN00544_BA17
AN00493	AN00493_BA7
AN12457	AN12457_BA17
AN15566	AN15566_BA38
AN09714	AN09714_BA38
AN07444	AN07444_ba41_42_22
AN19442	AN19442_BA7
AN15088	AN15088_BA7
AN08792	AN08792_BA17
UMB4842	UMB4842_ba9
AN03935	AN03935_ba41_42_22
UMB5242	UMB5242_ba9
AN13295	AN13295_ba41_42_22_89
AN17678	AN17678_ba41_42_22
AN08677	AN08677_ba41_42_22
AN00764	AN00764_ba9_61
UMB5163	UMB5163_ba41_42_22
UMB5168	UMB5168_ba9
UMB5144	UMB5144_ba41_42_22
AN01125	AN01125_ba9_22
UMB5115	UMB5115_ba41_42_22
AN17515	AN17515_BA4_6
AN06365	AN06365_ba41_42_22
AN09402	AN09402_ba9
AN11796	AN11796_BA38
AN08161	AN08161_ba9
AN00142	AN00142_ba9
AN03217	AN03217_ba41_42_22_92
AN12137	AN12137_BA17
UMB4999	UMB4999_ba9
AN01410	AN01410_BA4_6
UMB5340	UMB5340_ba41_42_22
UMB5309	UMB5309_ba41_42_22
UMB5302	UMB5302_ba41_42_22
AN08873	AN08873_ba41_42_22_77
AN04479	AN04479_BA4_6
AN17254	AN17254_BA7
AN11931	AN11931_ba41_42_22
AN11864	AN11864_ba41.42.22
AN02987	AN02987_BA17
AN05983	AN05983_ba9
AN16641	AN16641_ba9_73
AN04682	AN04682_ba41_42_22
AN19760	AN19760_ba41_42_22_26
AN06420	AN06420_ba41_42_22_53
