0_012_08_1	A653_736
GTEX-13FTY	SRR1473590
GTEX-13OW6	SRR1358501
GTEX-13OW5	SRR1338584
GTEX-13RTJ	SRR1404601
0_026_08_1	A653_352
GTEX-ZF28	SRR1387032
GTEX-13QJC	SRR1390516
GTEX-NPJ7	SRR817758
0_004_06_1	A653_284
GTEX-13OVJ	SRR1323196
GTEX-NPJ8	SRR821690
0_023_09_1	A653_085
GTEX-ZE7O	SRR1443979
0_007_09_1	A653_166
GTEX-13OVL	SRR1476407
0_08_88_1	A653_1223
0_95_21_1	A653_1073
0_032_10_1	A653_1309
0_006_09_1	A653_134
0_018_06_1	A653_152
0_034_06_1	A653_471
0_002_10_1	A653_956
GTEX-13CF2	SRR1475803
GTEX-13X6I	SRR1370797
GTEX-13QIC	SRR1348424
0_005_09_1	A653_030
0_022_06_1	A653_051
0_028_08_1	A653_593
0_025_08_1	A653_250
GTEX-13N2G	SRR1432067
GTEX-13G51	SRR1473979
GTEX-11GSO	SRR1312743
0_014_10_1	A653_1134
GTEX-13SLW	SRR1362464
0_021_09_1	A653_202
0_010_09_1	A653_338
0_035_09_1	A653_497
0_038_09_1	A653_803
0_016_07_1	A653_013
GTEX-13112	SRR1475386
GTEX-12WSF	SRR1488367
GTEX-12WSH	SRR1490524
0_018_07_1	A653_653
0_026_09_1	A653_103
0_023_08_1	A653_110
GTEX-12WSE	SRR1377927
GTEX-13S7M	SRR1467212
0_007_08_1	A653_740
0_009_07_1	A653_631
GTEX-WVLH	SRR1378155
GTEX-13JVG	SRR1341898
GTEX-OHPN	SRR603658
0_06_53_1	A653_1179
0_028_10_1	A653_1430
0_017_09_1	A653_073
GTEX-WZTO	SRR819370
GTEX-ZDXO	SRR1472323
GTEX-S7SE	SRR658977
GTEX-139TT	SRR1388305
0_006_08_1	A653_775
0_021_10_1	A653_1116
0_011_09_1	A653_273
GTEX-1313W	SRR1348339
0_97_37_1	A653_1409
GTEX-ZAB4	SRR1339387
GTEX-X585	SRR1088389
0_033_09_1	A653_447
0_036_09_1	A653_760
GTEX-ZUA1	SRR1446762
0_030_09_1	A653_481
GTEX-QVUS	SRR661255
GTEX-T6MN	SRR660969
GTEX-X4EP	SRR810571
0_00_38_1	A653_1023
0_98_34_1	A653_1001
GTEX-P44H	SRR818086
0_012_10_1	A653_901
0_016_08_1	A653_100
0_019_08_1	A653_817
GTEX-ZVZQ	SRR1485167
GTEX-13OW8	SRR1440082
0_015_10_1	A653_1072
0_032_08_1	A653_081
GTEX-13OW7	SRR1430972
0_95_27_1	A653_1049
0_029_09_1	A653_708
0_015_09_1	A653_052
SAMN02251328	SRR934938
GTEX-13FHO	SRR1358826
GTEX-UTHO	SRR660103
0_024_10_1	A653_1011
GTEX-11ZVC	SRR1322768
0_008_10_1	A653_882
0_043_06_1	A653_485
GTEX-WHSE	SRR817715
0_020_08_1	A653_163
0_004_08_1	A653_193
SAMN02251283	SRR934766
GTEX-X4XX	SRR817856
0_017_08_1	A653_406
0_003_08_1	A653_742
0_031_09_1	A653_430
GTEX-132Q8	SRR1489971
0_014_09_1	A653_087
0_034_08_1	A653_555
0_010_10_1	A653_876
0_94_35_1	A653_1253
0_033_08_1	A653_061
0_036_08_1	A653_277
SAMEA962344	ERR030890
0_030_06_1	A653_856
0_022_08_1	A653_652
0_039_06_1	A653_287
GTEX-YJ89	SRR1487295
SAMN02928460	SRR1521383
GTEX-Y8DK	SRR1366579
0_006_10_1	A653_881
0_011_10_1	A653_900
GTEX-11ZTS	SRR1368964
0_027_09_1	A653_585
0_06_02_1	A653_1278
0_013_09_1	A653_148
0_032_09_1	A653_524
0_016_09_1	A653_054
GTEX-12WSM	SRR1442195
0_013_10_1	A653_1447
GTEX-131YS	SRR1319539
GTEX-13O3O	SRR1398411
0_026_07_1	A653_414
SAMN02251229	SRR934868
GTEX-13O3Q	SRR1349013
0_018_09_1	A653_032
0_001_06_1	A653_294
0_03_28_1	A653_1397
0_020_07_1	A653_813
0_012_09_1	A653_029
0_017_07_1	A653_005
GTEX-YFC4	SRR1475969
0_009_09_1	A653_315
0_014_08_1	A653_660
0_034_09_1	A653_525
0_007_06_1	A653_705
GTEX-XMD1	SRR1093773
GTEX-1212Z	SRR1325964
0_037_08_1	A653_026
0_018_05_1	A653_489
GTEX-RNOR	SRR1458134
GTEX-13NZA	SRR1335047
GTEX-WL46	SRR819134
GTEX-145MH	SRR1476676
GTEX-13NZ8	SRR1389218
0_92_32_1	A653_1444
GTEX-13NYS	SRR1440356
0_022_09_1	A653_210
0_002_08_1	A653_636
0_028_09_1	A653_792
GTEX-N7MS	SRR608456
GTEX-N7MT	SRR1498616
0_025_09_1	A653_041
SAMN02251111	SRR934783
GTEX-PWO3	SRR607935
0_025_05_1	A653_182
0_021_08_1	A653_156
0_004_10_1	A653_1442
0_024_08_1	A653_044
0_007_10_1	A653_888
0_001_10_1	A653_916
GTEX-WWYW	SRR817751
0_035_06_1	A653_247
0_99_14_1	A653_1182
0_01_37_1	A653_1341
0_040_08_1	A653_347
0_023_10_1	A653_980
