0_012_08_1	A653_736
0_026_08_1	A653_352
0_004_06_1	A653_284
0_023_09_1	A653_085
0_007_09_1	A653_166
0_08_88_1	A653_1223
0_95_21_1	A653_1073
0_032_10_1	A653_1309
0_006_09_1	A653_134
0_018_06_1	A653_152
0_034_06_1	A653_471
0_002_10_1	A653_956
0_005_09_1	A653_030
0_022_06_1	A653_051
0_028_08_1	A653_593
0_025_08_1	A653_250
0_014_10_1	A653_1134
0_021_09_1	A653_202
0_010_09_1	A653_338
0_035_09_1	A653_497
0_038_09_1	A653_803
0_016_07_1	A653_013
0_018_07_1	A653_653
0_026_09_1	A653_103
0_023_08_1	A653_110
0_007_08_1	A653_740
0_009_07_1	A653_631
0_06_53_1	A653_1179
0_028_10_1	A653_1430
0_017_09_1	A653_073
0_006_08_1	A653_775
0_021_10_1	A653_1116
0_011_09_1	A653_273
0_97_37_1	A653_1409
0_033_09_1	A653_447
0_036_09_1	A653_760
0_030_09_1	A653_481
0_00_38_1	A653_1023
0_98_34_1	A653_1001
0_012_10_1	A653_901
0_016_08_1	A653_100
0_019_08_1	A653_817
0_015_10_1	A653_1072
0_032_08_1	A653_081
0_95_27_1	A653_1049
0_029_09_1	A653_708
0_015_09_1	A653_052
0_024_10_1	A653_1011
0_008_10_1	A653_882
0_043_06_1	A653_485
0_020_08_1	A653_163
0_004_08_1	A653_193
0_017_08_1	A653_406
0_003_08_1	A653_742
0_031_09_1	A653_430
0_014_09_1	A653_087
0_034_08_1	A653_555
0_010_10_1	A653_876
0_94_35_1	A653_1253
0_033_08_1	A653_061
0_036_08_1	A653_277
0_030_06_1	A653_856
0_022_08_1	A653_652
0_039_06_1	A653_287
0_006_10_1	A653_881
0_011_10_1	A653_900
0_027_09_1	A653_585
0_06_02_1	A653_1278
0_013_09_1	A653_148
0_032_09_1	A653_524
0_016_09_1	A653_054
0_013_10_1	A653_1447
0_026_07_1	A653_414
0_018_09_1	A653_032
0_001_06_1	A653_294
0_03_28_1	A653_1397
0_020_07_1	A653_813
0_012_09_1	A653_029
0_017_07_1	A653_005
0_009_09_1	A653_315
0_014_08_1	A653_660
0_034_09_1	A653_525
0_007_06_1	A653_705
0_037_08_1	A653_026
0_018_05_1	A653_489
0_92_32_1	A653_1444
0_022_09_1	A653_210
0_002_08_1	A653_636
0_028_09_1	A653_792
0_025_09_1	A653_041
0_025_05_1	A653_182
0_021_08_1	A653_156
0_004_10_1	A653_1442
0_024_08_1	A653_044
0_007_10_1	A653_888
0_001_10_1	A653_916
0_035_06_1	A653_247
0_99_14_1	A653_1182
0_01_37_1	A653_1341
0_040_08_1	A653_347
0_023_10_1	A653_980
