SRR1825697	SAMN03384141
SRR934724	SAMN02251256
SRR934865	SAMN02251254
ERR1363369	SAMEA3931553
ERR1363368	SAMEA3931552
ERR409743	SAMEA2300337
ERR1363350	SAMEA3931534
SRR934791	SAMN02251112
SRR934789	SAMN02251113
SRR934990	SAMN02251137
SRR934988	SAMN02251129
SRR1952230	SAMN02568929
SRR4407805	SAMN05891422
SRR934854	SAMN02251303
SRR934905	SAMN02251312
SRR934752	SAMN02251204
SRR934834	SAMN02251200
ERR1363338	SAMEA3931522
SRR934855	SAMN02251162
SRR934889	SAMN02251154
SRR4407848	SAMN05891416
SRR934880	SAMN02251242
SRR934764	SAMN02251276
SRR934725	SAMN02251274
SRR934728	SAMN02251273
SRR1468574	GTEX-132Q8
SRR820256	GTEX-WWYW
SRR819793	GTEX-S7PM
SRR817905	GTEX-WVLH
SRR1329334	GTEX-13OW7
SRR1475909	GTEX-13SLX
SRR1455677	GTEX-145MI
SRR817978	GTEX-WHSE
SRR1474065	GTEX-13VXU
SRR1370473	GTEX-13PL6
SRR1414833	GTEX-12ZZY
SRR1467882	GTEX-ZDXO
SRR1329885	GTEX-ZF28
SRR1070986	GTEX-WZTO
SRR655218	GTEX-QMR6
SRR600560	GTEX-N7MS
SRR1467455	GTEX-YFC4
SRR598862	GTEX-Q2AG
SRR655134	GTEX-T6MN
SRR1435901	GTEX-11GSP
SRR1099168	GTEX-XMD1
SRR1359388	GTEX-14ABY
SRR1432343	GTEX-ZXG5
SRR601122	GTEX-NL4W
SRR1353285	GTEX-YJ89
SRR1374221	GTEX-11NV4
SRR1429725	GTEX-ZVT3
SRR1321183	GTEX-12WSD
SRR1335651	GTEX-13FLW
SRR1366141	GTEX-13FHP
SRR1488349	GTEX-13NYS
SRR1320180	GTEX-11GSP
SRR601201	GTEX-OHPN
SRR1489177	GTEX-13OW5
SRR1316921	GTEX-13FXS
SRR1486608	GTEX-13NYS
SRR1367870	GTEX-Z93S
SRR656167	GTEX-QVUS
SRR1397094	GTEX-13X6K
SRR1456950	GTEX-12ZZZ
SRR1336887	GTEX-14753
SRR604318	GTEX-NPJ8
SRR1354013	GTEX-13QIC
SRR661179	GTEX-S7SE
SRR1316535	GTEX-13OVH
SRR1313426	GTEX-11ZTS
SRR1445408	GTEX-13NYB
SRR1351880	GTEX-13QJC
SRR1334717	GTEX-14ASI
SRR1325986	GTEX-13FXS
SRR1336379	GTEX-12WSE
SRR818348	GTEX-WHSE
SRR1359192	GTEX-13X6J
SRR1340700	GTEX-145MH
SRR598253	GTEX-Q2AG
SRR1320916	GTEX-11WQC
SRR1319837	GTEX-1313W
SRR1468974	GTEX-131XW
SRR1417111	GTEX-13OVL
SRR665334	GTEX-QDT8
SRR1356036	GTEX-12ZZX
SRR820379	GTEX-WVLH
SRR614443	GTEX-N7MS
SRR1394755	GTEX-13FLV
SRR1313642	GTEX-13SLW
