SAMN02251129	SRR934988
SAMN02251242	SRR934880
SAMEA3931522	ERR1363338
SAMEA2300337	ERR409743
SAMN02251137	SRR934990
SAMN02251256	SRR934724
SAMN02251254	SRR934865
SAMN03384141	SRR1825697
SAMN02251303	SRR934854
SAMN02568929	SRR1952230
SAMN02251312	SRR934905
SAMN02251276	SRR934764
SAMN02251154	SRR934889
SAMN02251274	SRR934725
SAMN02251273	SRR934728
SAMN02251204	SRR934752
SAMN02251200	SRR934834
SAMN02251162	SRR934855
SAMN05891422	SRR4407805
SAMEA3931553	ERR1363369
SAMEA3931552	ERR1363368
SAMN02251113	SRR934789
SAMN02251112	SRR934791
SAMEA3931534	ERR1363350
SAMN05891416	SRR4407848
