SRR3233993	SAMN04565592
SRR3141980	SAMN04455049
SRR1521355	SAMN02928492
SRR1521360	SAMN02928497
SRR1521359	SAMN02928496
SRR1521354	SAMN02928491
SRR1521361	SAMN02928498
SRR1521386	SAMN02928463
SRR1521391	SAMN02928468
SRR1521426	SAMN02928533
SRR1521415	SAMN02928522
SRR1521421	SAMN02928528
SRR1521424	SAMN02928531
SRR1521422	SAMN02928529
SRR1521420	SAMN02928527
SRR1521432	SAMN02928539
SRR1521431	SAMN02928538
SRR1521353	SAMN02928490
SRR1521402	SAMN02928479
SRR1521407	SAMN02928484
SRR1521410	SAMN02928487
SRR1521408	SAMN02928485
SRR1521352	SAMN02928489
SRR934949	SAMN02251325
SRR934814	SAMN02251173
SRR1521378	SAMN02928515
SRR1521380	SAMN02928517
SRR1521381	SAMN02928518
ERR1363334	SAMEA3931518
SRR3233968	SAMN04565567
SRR3234008	SAMN04565558
SRR3233983	SAMN04565582
SRR1521399	SAMN02928476
SRR1521401	SAMN02928478
SRR1521400	SAMN02928477
SRR934833	SAMN02251155
SRR1521370	SAMN02928507
SRR1443612	GTEX-139UW
SRR1488172	GTEX-QDT8
SRR1441701	GTEX-OXRO
SRR1369148	GTEX-X4EP
SRR602598	GTEX-Q2AG
SRR612311	GTEX-OHPN
SRR1325401	GTEX-11WQK
SRR602871	GTEX-NL4W
SRR1323807	GTEX-13S7M
SRR1491311	GTEX-13RTJ
SRR660661	GTEX-QVUS
SRR1401295	GTEX-11ZUS
SRR1453932	GTEX-13CIG
SRR1363633	GTEX-13CZV
SRR1363992	GTEX-13JUV
SRR1488836	GTEX-13OW5
SRR1340133	GTEX-13VXU
SRR661723	GTEX-T6MN
SRR1464411	GTEX-13QJC
SRR817880	GTEX-WL46
SRR1323603	GTEX-YFC4
SRR1343879	GTEX-13FLV
SRR612443	GTEX-QVJO
SRR1330498	GTEX-ZVZQ
SRR1370173	GTEX-13O1R
SRR1458595	GTEX-14BIL
SRR1085782	GTEX-XMD1
SRR1336727	GTEX-13OVL
SRR1321853	GTEX-131YS
SRR1430248	GTEX-12WSD
SRR1321966	GTEX-14ABY
SRR1445514	GTEX-13NYS
SRR1346813	GTEX-ZAB4
SRR1421375	GTEX-148VJ
SRR1429329	GTEX-13FTY
SRR1468403	GTEX-ZF28
SRR1470212	GTEX-13NYB
SRR1369219	GTEX-13PL6
SRR1413768	GTEX-13N2G
SRR1362777	GTEX-14BIN
SRR1488538	GTEX-13SLX
SRR1333694	GTEX-147GR
SRR1486304	GTEX-13FXS
SRR1396659	GTEX-11ZVC
SRR1474137	GTEX-13PLJ
SRR819534	GTEX-OXRO
SRR1315994	GTEX-13X6I
SRR660895	GTEX-T5JC
SRR1387989	GTEX-13PVQ
SRR1073755	GTEX-OHPN
SRR1467590	GTEX-11GSP
SRR655146	GTEX-TSE9
SRR1429244	GTEX-131XW
SRR1475609	GTEX-YJ89
SRR1470035	GTEX-13SLW
SRR1402840	GTEX-12WSH
SRR1368856	GTEX-13NZA
SRR1383018	GTEX-13OVJ
SRR1320071	GTEX-12126
