GTEX-148VJ	SRR1421375
GTEX-13FTY	SRR1429329
GTEX-13OW5	SRR1488836
GTEX-13RTJ	SRR1491311
GTEX-ZF28	SRR1468403
CGND-HDA-00536-b38	HRA_00171
GTEX-13QJC	SRR1464411
GTEX-14BIL	SRR1458595
CGND-HDA-00201-b38	HRA_00040
GTEX-13OVJ	SRR1383018
GTEX-14BIN	SRR1362777
GTEX-13OVL	SRR1336727
GTEX-T5JC	SRR660895
CGND-HDA-00595-b38	HRA_00232
CGND-HDA-00552-b38	HRA_00626
CGND-HDA-01315-b38	HRA_00340
CGND-HDA-00198-b38	HRA_00051
CGND-HDA-01313-b38	HRA_00322
GTEX-13X6I	SRR1315994
GTEX-13N2G	SRR1413768
CGND-HDA-00556-b38	HRA_00645
GTEX-11GSP	SRR1467590
CGND-HDA-00599-b38	HRA_00271
CGND-HDA-00590-b38	HRA_00233
CGND-HDA-01325-b38	HRA_00407
GTEX-13SLW	SRR1470035
CGND-HDA-00560-b38	HRA_00657
SAMN04565582	SRR3233983
CGND-HDA-00538-b38	HRA_00634
SAMEA3931518	ERR1363334
GTEX-12WSH	SRR1402840
CGND-HDA-00540-b38	HRA_00528
SAMN02928539	SRR1521432
SAMN02928538	SRR1521431
CGND-HDA-00566-b38	HRA_01250
CGND-HDA-00193-b38	HRA_00032
CGND-HDA-01311-b38	HRA_00307
GTEX-13S7M	SRR1323807
CGND-HDA-00549-b38	HRA_00609
SAMN02928496	SRR1521359
SAMN02928498	SRR1521361
SAMN02928531	SRR1521424
SAMN02928497	SRR1521360
SAMN02928533	SRR1521426
CGND-HDA-00558-b38	HRA_00649
GTEX-OHPN	SRR1073755
CGND-HDA-01320-b38	HRA_00376
CGND-HDA-01327-b38	HRA_00419
SAMN04565592	SRR3233993
CGND-HDA-00592-b38	HRA_00229
GTEX-ZAB4	SRR1346813
CGND-HDA-01318-b38	HRA_00361
CGND-HDA-00534-b38	HRA_00558
SAMN02928528	SRR1521421
CGND-HDA-00195-b38	HRA_00048
SAMN02928527	SRR1521420
CGND-HDA-00551-b38	HRA_00548
GTEX-QVUS	SRR660661
CGND-HDA-00564-b38	HRA_00670
SAMN02928529	SRR1521422
GTEX-T6MN	SRR661723
SAMN02928485	SRR1521408
SAMN02928484	SRR1521407
SAMN02251155	SRR934833
CGND-HDA-01322-b38	HRA_00390
SAMN02928487	SRR1521410
GTEX-X4EP	SRR1369148
SAMN02928522	SRR1521415
SAMN02928489	SRR1521352
SAMN02928490	SRR1521353
SAMN02928492	SRR1521355
SAMN02928491	SRR1521354
GTEX-ZVZQ	SRR1330498
GTEX-13FLV	SRR1343879
CGND-HDA-00594-b38	HRA_00231
SAMN02928479	SRR1521402
SAMN04455049	SRR3141980
SAMN02928515	SRR1521378
GTEX-13PLJ	SRR1474137
CGND-HDA-00553-b38	HRA_00552
SAMN02928517	SRR1521380
CGND-HDA-01324-b38	HRA_01290
SAMN02251325	SRR934949
GTEX-OXRO	SRR1441701
GTEX-11ZVC	SRR1396659
SAMN02928518	SRR1521381
CGND-HDA-00197-b38	HRA_00050
CGND-HDA-01316-b38	HRA_00344
SAMN02928476	SRR1521399
GTEX-13CZV	SRR1363633
SAMN02928478	SRR1521401
SAMN02928477	SRR1521400
GTEX-147GR	SRR1333694
CGND-HDA-00535-b38	HRA_01217
GTEX-14ABY	SRR1321966
GTEX-11ZUS	SRR1401295
GTEX-NL4W	SRR602871
CGND-HDA-00189-b38	HRA_00042
CGND-HDA-00200-b38	HRA_00053
CGND-HDA-02057	HRA_01265
SAMN02928468	SRR1521391
CGND-HDA-02053	HRA_01256
CGND-HDA-00190-b38	HRA_00043
GTEX-YJ89	SRR1475609
SAMN02928507	SRR1521370
CGND-HDA-01326-b38	HRA_00414
SAMN02928463	SRR1521386
CGND-HDA-00543-b38	HRA_00573
SAMN02251173	SRR934814
GTEX-13CIG	SRR1453932
GTEX-139UW	SRR1443612
CGND-HDA-00199-b38	HRA_00052
GTEX-QDT8	SRR1488172
CGND-HDA-00541-b38	HRA_00570
CGND-HDA-00192-b38	HRA_00031
CGND-HDA-01312-b38	HRA_00318
CGND-HDA-00555-b38	HRA_01224
CGND-HDA-01330-b38	HRA_00437
0_UMARY-5171_UMARY-5171	SRR5605724
GTEX-131YS	SRR1321853
GTEX-QVJO	SRR612443
CGND-HDA-00567-b38	HRA_01253
SAMN04565558	SRR3234008
CGND-HDA-00565-b38	HRA_00674
CGND-HDA-00194-b38	HRA_00047
GTEX-YFC4	SRR1323603
GTEX-XMD1	SRR1085782
GTEX-11WQK	SRR1325401
CGND-HDA-01328-b38	HRA_00426
CGND-HDA-01310-b38	HRA_00299
GTEX-13NZA	SRR1368856
CGND-HDA-00548-b38	HRA_00605
GTEX-WL46	SRR817880
GTEX-131XW	SRR1429244
CGND-HDA-01319-b38	HRA_00368
GTEX-13NYS	SRR1445514
CGND-HDA-00550-b38	HRA_00614
CGND-HDA-01702	HRA_01209
CGND-HDA-01701	HRA_01207
SAMN04565567	SRR3233968
GTEX-13VXU	SRR1340133
CGND-HDA-00196-b38	HRA_00049
CGND-HDA-01321-b38	HRA_00384
GTEX-13O1R	SRR1370173
CGND-HDA-01317-b38	HRA_00353
CGND-HDA-00559-b38	HRA_00652
