SAMN04565582	SRR3233983
SAMEA3931518	ERR1363334
SAMN02928539	SRR1521432
SAMN02928538	SRR1521431
SAMN02928496	SRR1521359
SAMN02928498	SRR1521361
SAMN02928531	SRR1521424
SAMN02928497	SRR1521360
SAMN02928533	SRR1521426
SAMN04565592	SRR3233993
SAMN02928528	SRR1521421
SAMN02928527	SRR1521420
SAMN02928529	SRR1521422
SAMN02928485	SRR1521408
SAMN02928484	SRR1521407
SAMN02251155	SRR934833
SAMN02928487	SRR1521410
SAMN02928522	SRR1521415
SAMN02928489	SRR1521352
SAMN02928490	SRR1521353
SAMN02928492	SRR1521355
SAMN02928491	SRR1521354
SAMN02928479	SRR1521402
SAMN04455049	SRR3141980
SAMN02928515	SRR1521378
SAMN02928517	SRR1521380
SAMN02251325	SRR934949
SAMN02928518	SRR1521381
SAMN02928476	SRR1521399
SAMN02928478	SRR1521401
SAMN02928477	SRR1521400
SAMN02928468	SRR1521391
SAMN02928507	SRR1521370
SAMN02928463	SRR1521386
SAMN02251173	SRR934814
SAMN04565558	SRR3234008
SAMN04565567	SRR3233968
